tipo_celular,module_size,PMS1_MM,PMS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.161,17.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,610.0,0.155,54.0,98,18,18.37,1.15 (0.75-1.56),80,81.63,3.59 (3.30-3.88),7.03,3.36
astrocytes 5,1141.0,0.133,53.0,166,15,9.04,1.63 (1.12-2.14),151,90.96,3.61 (3.36-3.86),5.42,4.46
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,24,6.8,1.37 (0.98-1.76),329,93.2,4.12 (3.95-4.30),31.89,6.33
GABA neurons expressing GLU receptors 22,823.0,0.248,86.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,795.0,0.125,47.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,132.0,0.316,66.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.075,10.0,297,4,1.35,2.93 (2.52-3.33),293,98.65,3.68 (3.48-3.89),6.29,5.51
oligodendrocytes 20,250.0,0.04,11.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.16,68.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69),3.66,8.69
astrocytes 8,727.0,0.073,27.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,3303.0,0.12,89.0,276,19,6.88,1.85 (1.38-2.31),257,93.12,3.70 (3.48-3.92),11.26,4.66
oligodendrocytes 10,2107.0,0.233,78.0,358,26,7.26,1.52 (1.10-1.94),332,92.74,4.10 (3.92-4.29),30.03,7.86
connective tissue cells 21,93.0,0.299,59.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1768.0,0.097,59.0,105,14,13.33,1.34 (0.92-1.75),91,86.67,3.50 (3.16-3.84),6.31,3.62
oligodendrocytes 16,74.0,0.297,90.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.277,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.161,69.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.112,46.0,238,6,2.52,2.21 (1.28-3.15),232,97.48,3.68 (3.46-3.90),9.21,4.91
microglia 1,813.0,0.165,84.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.091,51.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,921.0,0.119,21.0,200,4,2.0,3.19 (2.61-3.77),196,98.0,3.63 (3.36-3.90),2.88,3.48
