tipo_celular,module_size,ANGEL1_MM,ANGEL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.1,11.0,102,3,2.94,2.14 (0.67-3.61),99,97.06,3.54 (3.17-3.91),7.87,2.89
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.117,51.0,136,4,2.94,4.35 (3.41-5.29),132,97.06,3.17 (2.89-3.44),2.71,5.06
oligodendrocyte progenitor cells 7,4285.0,0.102,10.0,353,15,4.25,1.91 (1.05-2.77),338,95.75,4.00 (3.82-4.19),34.22,6.90
GABA neurons expressing GLU receptors 22,823.0,0.047,1.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.189,56.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,2402.0,0.072,3.0,455,11,2.42,1.08 (0.39-1.76),444,97.58,4.44 (4.26-4.62),35.17,8.18
astrocytes 8,603.0,0.033,5.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,3303.0,0.077,49.0,276,7,2.54,2.42 (1.30-3.53),269,97.46,3.58 (3.36-3.80),11.22,4.95
oligodendrocytes 10,2107.0,0.036,2.0,358,16,4.47,1.89 (0.96-2.81),342,95.53,3.97 (3.78-4.16),29.26,8.55
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.064,37.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,61.0,0.172,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,83.0,0.328,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.128,22.0,104,7,6.73,1.97 (1.02-2.93),97,93.27,2.93 (2.64-3.22),10.62,5.02
oligodendrocytes 0,2078.0,0.114,50.0,238,4,1.68,4.04 (2.73-5.35),234,98.32,3.63 (3.40-3.85),4.65,5.03
microglia 1,1615.0,0.084,15.0,161,15,9.32,1.34 (0.67-2.01),146,90.68,3.47 (3.20-3.73),12.85,4.67
oligodendrocytes 3,854.0,0.066,21.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,1630.0,0.143,53.0,154,1,0.65,5.16 (NA-NA),153,99.35,3.23 (2.96-3.50),1.63,3.61
