tipo_celular,module_size,MTA1_MM,MTA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.113,45.0,136,8,5.88,1.82 (1.30-2.34),128,94.12,3.31 (3.03-3.59),6.53,4.89
oligodendrocyte progenitor cells 7,4285.0,0.102,11.0,353,97,27.48,2.60 (2.35-2.85),256,72.52,4.57 (4.38-4.76),16.77,4.76
GABA neurons expressing GLU receptors 22,599.0,0.142,17.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.088,9.0,74,18,24.32,2.53 (2.11-2.94),56,75.68,3.09 (2.61-3.58),3.38,12.79
astrocytes 8,603.0,0.06,34.0,89,9,10.11,1.39 (1.01-1.78),80,89.89,2.98 (2.61-3.35),5.32,6.12
oligodendrocyte progenitor cells 12,708.0,0.056,20.0,32,13,40.62,1.98 (1.02-2.95),19,59.38,4.19 (3.19-5.20),3.07,2.28
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,73.0,0.233,30.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.067,37.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,126.0,0.299,38.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,1807.0,0.156,71.0,104,39,37.5,2.23 (1.85-2.60),65,62.5,3.30 (2.94-3.65),8.62,3.47
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
