tipo_celular,module_size,GNAI1_MM,GNAI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,229.0,0.134,24.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,487.0,0.18,34.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19),2.83,7.45
GLU like neurons 17,637.0,0.303,82.0,91,16,17.58,2.11 (1.19-3.02),75,82.42,5.30 (4.84-5.76),3.71,2.92
da like neurons 11,408.0,0.332,78.0,25,9,36.0,1.83 (0.87-2.80),16,64.0,6.89 (5.92-7.86),2.08,2.39
GABA neurons expressing GABA receptors 13,288.0,0.157,44.0,93,9,9.68,2.86 (1.30-4.42),84,90.32,5.48 (5.01-5.95),3.21,4.03
endothelial cells 9,450.0,0.311,70.0,74,5,6.76,4.78 (2.72-6.84),69,93.24,5.54 (4.97-6.12),2.79,3.70
oligodendrocytes 20,676.0,0.307,55.0,110,14,12.73,2.74 (1.80-3.67),96,87.27,5.40 (4.97-5.84),3.53,3.52
GABA like neurons 14,3052.0,0.214,95.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.35,90.0,32,14,43.75,1.91 (1.21-2.60),18,56.25,4.58 (3.50-5.67),3.22,2.12
oligodendrocytes 10,236.0,0.643,89.0,82,6,7.32,3.84 (2.99-4.68),76,92.68,5.11 (4.56-5.67),3.00,3.90
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,287.0,0.456,92.0,105,13,12.38,2.53 (1.71-3.34),92,87.62,5.66 (5.27-6.04),3.65,3.44
da neurons 6,398.0,0.151,51.0,138,23,16.67,2.65 (2.06-3.24),115,83.33,5.36 (4.99-5.72),2.76,2.73
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,261.0,0.188,52.0,42,14,33.33,2.38 (1.53-3.22),28,66.67,5.37 (4.88-5.87),2.41,2.20
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,127.0,0.365,77.0,45,6,13.33,2.53 (1.26-3.81),39,86.67,4.85 (3.93-5.78),2.04,6.52
oligodendrocytes 2,528.0,0.153,20.0,175,27,15.43,4.01 (3.33-4.69),148,84.57,4.45 (4.05-4.85),8.95,3.83
