tipo_celular,module_size,DAPK1_MM,DAPK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.347,97.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,506.0,0.125,21.0,225,27,12.0,2.81 (2.32-3.30),198,88.0,3.77 (3.49-4.05),7.07,8.02
astrocytes 5,499.0,0.186,67.0,32,1,3.12,5.16 (NA-NA),31,96.88,5.02 (4.50-5.54),1.35,3.87
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,599.0,0.266,75.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08),1.72,4.17
GLU like neurons 17,489.0,0.304,90.0,42,2,4.76,4.84 (0.60-9.08),40,95.24,6.07 (5.53-6.62),2.06,3.27
da like neurons 11,145.0,0.377,85.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.105,16.0,302,4,1.32,3.60 (0.29-6.91),298,98.68,3.99 (3.76-4.21),2.68,10.76
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.185,39.0,306,34,11.11,3.06 (2.57-3.55),272,88.89,5.50 (5.23-5.76),4.84,6.94
astrocytes 8,1266.0,0.18,93.0,66,23,34.85,2.39 (1.77-3.02),43,65.15,3.79 (3.31-4.27),3.18,2.83
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,183.0,0.549,96.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,1401.0,0.106,68.0,96,11,11.46,3.09 (2.08-4.09),85,88.54,3.70 (3.20-4.19),3.98,3.77
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.353,92.0,7,3,42.86,3.92 (3.20-4.64),4,57.14,5.76 (4.31-7.21),2.00,1.67
astrocytes 4,161.0,0.178,50.0,45,1,2.22,7.00 (NA-NA),44,97.78,5.22 (4.59-5.86),1.97,3.13
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,346.0,0.343,95.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
