tipo_celular,module_size,EMC7_MM,EMC7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.21,73.0,164,10,6.1,4.09 (3.18-5.01),154,93.9,4.08 (3.74-4.43),7.35,7.54
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.211,60.0,410,22,5.37,3.43 (2.82-4.04),388,94.63,4.31 (4.12-4.51),9.72,7.39
GABA neurons expressing GABA receptors 13,90.0,0.267,99.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70),2.07,1.61
endothelial cells 9,559.0,0.088,18.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,938.0,0.03,4.0,169,10,5.92,2.43 (1.57-3.29),159,94.08,3.56 (3.34-3.78),3.89,5.46
GABA like neurons 14,2402.0,0.262,58.0,455,26,5.71,2.79 (2.11-3.48),429,94.29,4.47 (4.29-4.66),23.56,7.94
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.097,72.0,276,10,3.62,2.54 (1.71-3.37),266,96.38,3.59 (3.37-3.81),8.92,4.97
oligodendrocytes 10,806.0,0.167,53.0,261,17,6.51,3.55 (2.84-4.27),244,93.49,4.44 (4.19-4.70),6.07,6.06
connective tissue cells 21,301.0,0.293,28.0,158,3,1.9,1.19 (0.16-2.22),155,98.1,4.34 (3.98-4.70),10.55,7.00
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.339,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.223,83.0,235,2,0.85,4.12 (NA-NA),233,99.15,3.97 (3.72-4.23),4.60,4.41
astrocytes microglia 23,157.0,0.311,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.122,22.0,252,21,8.33,2.45 (1.62-3.27),231,91.67,4.29 (4.05-4.54),10.07,8.04
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.098,30.0,154,1,0.65,6.60 (NA-NA),153,99.35,3.59 (3.28-3.91),5.03,11.88
oligodendrocytes 2,528.0,0.193,46.0,175,9,5.14,3.65 (2.69-4.60),166,94.86,4.44 (4.07-4.81),7.61,4.46
