tipo_celular,module_size,C16orf45_MM,C16orf45_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.102,41.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,448.0,0.113,29.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,1069.0,0.282,98.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1247.0,0.267,96.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,215.0,0.354,88.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,265.0,0.113,20.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.148,51.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300.0,0.157,26.0,306,18,5.88,2.67 (1.64-3.71),288,94.12,5.26 (5.00-5.51),4.93,6.82
astrocytes 8,1266.0,0.07,37.0,66,15,22.73,2.28 (1.51-3.06),51,77.27,3.56 (3.10-4.02),3.60,2.76
oligodendrocyte progenitor cells 12,143.0,0.435,54.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,806.0,0.164,52.0,261,13,4.98,5.00 (4.04-5.95),248,95.02,4.33 (4.09-4.58),3.74,6.19
connective tissue cells 21,152.0,0.244,41.0,21,2,9.52,7.59 (NA-NA),19,90.48,4.98 (3.59-6.37),1.60,2.29
astrocytes 15,458.0,0.036,8.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,105.0,0.187,33.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,448.0,0.105,55.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,125.0,0.246,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.149,46.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,1186.0,0.123,19.0,300,3,1.0,3.25 (2.52-3.98),297,99.0,3.80 (3.59-4.01),10.32,4.09
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.059,15.0,87,6,6.9,1.82 (1.19-2.45),81,93.1,2.64 (2.36-2.93),2.61,4.36
oligodendrocytes 2,407.0,0.115,10.0,122,12,9.84,1.22 (0.74-1.70),110,90.16,3.63 (3.24-4.03),3.13,2.65
