tipo_celular,module_size,TRIM2_MM,TRIM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.656,98.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.623,96.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12),2.46,3.35
astrocytes 5,499,0.197,71.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,229,0.106,14.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.28,78.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,380,0.111,10.0,39,10,25.64,3.83 (3.68-3.97),29,74.36,2.76 (2.09-3.42),2.03,2.75
da like neurons 11,87,0.341,62.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,238,0.237,80.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37),1.45,17.67
endothelial cells 9,450,0.607,94.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676,0.136,37.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58),3.60,3.52
GABA like neurons 14,1300,0.052,3.0,306,9,2.94,1.85 (1.10-2.59),297,97.06,5.24 (4.99-5.50),5.09,6.76
astrocytes 8,771,0.399,88.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.206,75.0,32,4,12.5,2.27 (0.89-3.66),28,87.5,3.41 (2.50-4.31),3.18,2.51
oligodendrocytes 10,204,0.484,70.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250,0.417,73.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77),NA,3.74
astrocytes 15,377,0.138,41.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38),NA,2.45
oligodendrocytes 16,287,0.161,15.0,105,3,2.86,0.90 (0.75-1.04),102,97.14,5.26 (4.85-5.68),1.81,3.52
da neurons 6,553,0.183,78.0,124,11,8.87,4.01 (3.22-4.81),113,91.13,4.20 (3.78-4.62),2.94,3.04
astrocytes microglia 23,89,0.223,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,102,0.14,21.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,479,0.243,90.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,127,0.49,92.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,99,0.223,45.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,348,0.298,81.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52),NA,4.39
