tipo_celular,module_size,ROR1_MM,ROR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.106,18.0,80,2,2.5,2.41 (-0.28-5.09),78,97.5,3.43 (2.95-3.91),3.17,5.07
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.187,52.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,233.0,0.48,95.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.067,5.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.12,49.0,48,4,8.33,5.16 (2.28-8.04),44,91.67,4.35 (3.56-5.13),2.11,3.24
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.149,72.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,110.0,0.212,17.0,13,2,15.38,2.08 (-0.16-4.31),11,84.62,3.30 (2.41-4.19),1.83,1.68
astrocytes 15,367.0,0.146,50.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,92.0,0.142,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,127.0,0.371,85.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,752.0,0.12,10.0,96,9,9.38,3.47 (2.65-4.29),87,90.62,3.27 (2.91-3.62),2.40,4.52
oligodendrocytes 0,479.0,0.329,99.0,40,11,27.5,5.71 (4.79-6.63),29,72.5,5.94 (5.31-6.58),3.33,3.52
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.287,99.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.219,59.0,114,29,25.44,4.68 (4.04-5.32),85,74.56,5.32 (4.80-5.84),6.98,3.51
