tipo_celular,module_size,RPL27_MM,RPL27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.463,87.0,98,38,38.78,3.14 (2.56-3.72),60,61.22,3.27 (2.56-3.98),26.38,5.27
T cells 18,506.0,0.338,81.0,225,41,18.22,3.25 (2.67-3.83),184,81.78,3.71 (3.43-3.98),24.92,4.11
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.232,82.0,108,12,11.11,4.34 (3.45-5.23),96,88.89,3.09 (2.61-3.56),30.82,15.41
GABA neurons expressing GLU receptors 22,848.0,0.273,70.0,262,25,9.54,2.70 (2.10-3.31),237,90.46,4.32 (4.07-4.58),7.43,3.75
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.127,25.0,213,46,21.6,2.42 (1.93-2.91),167,78.4,4.18 (3.94-4.42),13.31,8.69
endothelial cells 9,916.0,0.481,90.0,302,29,9.6,3.90 (3.20-4.60),273,90.4,3.99 (3.75-4.23),21.07,9.55
oligodendrocytes 20,221.0,0.01,0.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402.0,0.407,80.0,455,57,12.53,2.68 (2.23-3.13),398,87.47,4.64 (4.46-4.83),22.51,6.88
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.337,93.0,235,27,11.49,3.94 (3.40-4.48),208,88.51,3.81 (3.55-4.06),20.52,5.94
oligodendrocytes 10,483.0,0.309,83.0,129,18,13.95,4.32 (3.67-4.97),111,86.05,3.27 (2.83-3.71),38.26,16.10
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,96.0,0.129,6.0,102,48,47.06,2.87 (2.33-3.42),54,52.94,3.76 (3.40-4.11),12.08,3.74
da neurons 6,729.0,0.169,60.0,182,24,13.19,3.36 (2.64-4.09),158,86.81,3.68 (3.41-3.95),24.69,6.07
astrocytes microglia 23,137.0,0.347,45.0,188,42,22.34,2.76 (2.26-3.25),146,77.66,5.04 (4.69-5.40),19.82,3.50
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.176,54.0,252,56,22.22,2.73 (2.28-3.19),196,77.78,4.57 (4.31-4.82),20.92,4.58
microglia 1,406.0,0.412,80.0,278,10,3.6,3.80 (3.23-4.38),268,96.4,4.39 (4.10-4.67),51.32,5.07
oligodendrocytes 3,303.0,0.16,59.0,154,16,10.39,4.57 (3.73-5.42),138,89.61,3.50 (3.17-3.84),43.30,8.19
oligodendrocytes 2,526.0,0.228,39.0,213,9,4.23,4.09 (3.14-5.03),204,95.77,3.97 (3.69-4.26),49.33,6.11
