tipo_celular,module_size,CASTOR2_MM,CASTOR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.123,71.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,9,2.55,1.50 (0.71-2.29),344,97.45,3.97 (3.79-4.15),26.12,7.59
GABA neurons expressing GLU receptors 22,1069.0,0.112,15.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1247.0,0.386,100.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,109.0,0.27,70.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.052,23.0,33,1,3.03,2.74 (NA-NA),32,96.97,2.73 (2.23-3.24),1.87,3.43
GABA like neurons 14,2090.0,0.399,100.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,283.0,0.099,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.042,16.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,1277.0,0.125,61.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,85.0,0.362,75.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1401.0,0.053,19.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,90.0,0.223,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,49.0,0.252,23.0,1,1,100.0,6.09 (NA-NA),0,0.0,NA,1.31,NA
astrocytes 4,251.0,0.102,7.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,2078.0,0.114,50.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.079,38.0,127,2,1.57,6.14 (6.03-6.26),125,98.43,3.06 (2.73-3.39),2.04,4.27
oligodendrocytes 2,407.0,0.189,80.0,122,14,11.48,3.03 (1.87-4.20),108,88.52,3.38 (2.97-3.79),2.81,2.69
