tipo_celular,module_size,IRS1_MM,IRS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.083,8.0,136,3,2.21,2.30 (0.47-4.13),133,97.79,3.23 (2.96-3.51),6.99,4.94
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,49,13.88,2.48 (2.02-2.94),304,86.12,4.19 (4.01-4.37),24.02,5.49
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,59.0,0.376,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.152,61.0,125,3,2.4,5.21 (2.14-8.27),122,97.6,3.29 (2.98-3.61),5.25,8.70
astrocytes 8,577.0,0.085,50.0,83,6,7.23,3.48 (1.59-5.37),77,92.77,3.23 (2.77-3.69),1.95,4.67
oligodendrocyte progenitor cells 12,708.0,0.082,36.0,32,13,40.62,2.03 (1.19-2.86),19,59.38,4.16 (3.07-5.24),3.15,2.22
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,110.0,0.285,59.0,13,4,30.77,3.15 (1.61-4.68),9,69.23,3.10 (2.06-4.15),1.85,1.64
astrocytes 15,268.0,0.036,7.0,10,5,50.0,4.15 (0.74-7.57),5,50.0,3.41 (1.33-5.50),1.43,1.75
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.321,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.125,18.0,104,22,21.15,1.98 (1.48-2.47),82,78.85,3.13 (2.82-3.44),13.12,3.32
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
