tipo_celular,module_size,GOLGA8B_MM,GOLGA8B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.148,46.0,142,4,2.82,4.31 (2.53-6.09),138,97.18,3.17 (2.90-3.44),3.32,4.33
astrocytes 5,328.0,0.106,18.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,4285.0,0.092,6.0,353,23,6.52,2.40 (1.69-3.10),330,93.48,4.03 (3.84-4.21),22.66,7.05
GABA neurons expressing GLU receptors 22,823.0,0.316,97.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,489.0,0.325,93.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,853.0,0.116,38.0,133,8,6.02,1.55 (0.38-2.72),125,93.98,3.38 (3.07-3.70),5.82,4.06
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.142,42.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,603.0,0.062,37.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,708.0,0.047,13.0,32,9,28.12,1.21 (0.50-1.91),23,71.88,4.21 (3.36-5.06),3.72,2.16
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.131,39.0,8,4,50.0,1.87 (0.12-3.62),4,50.0,6.09 (4.30-7.88),1.65,2.01
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.321,45.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,721.0,0.119,7.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
