tipo_celular,module_size,DLD_MM,DLD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.224,59.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.156,97.0,136,3,2.21,1.56 (1.00-2.13),133,97.79,3.25 (2.98-3.52),7.92,4.92
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,28,7.93,1.52 (1.16-1.87),325,92.07,4.16 (3.99-4.34),31.39,6.05
GABA neurons expressing GLU receptors 22,848.0,0.191,42.0,262,12,4.58,2.20 (1.41-2.98),250,95.42,4.29 (4.05-4.54),3.14,4.15
GLU like neurons 17,1316.0,0.137,61.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,140.0,0.199,42.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,357.0,0.131,33.0,237,15,6.33,3.48 (2.66-4.30),222,93.67,4.48 (4.24-4.71),2.88,4.27
endothelial cells 9,338.0,0.102,32.0,191,2,1.05,4.35 (3.11-5.60),189,98.95,3.88 (3.65-4.10),2.51,9.23
oligodendrocytes 20,250.0,0.321,86.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.217,96.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283.0,0.126,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.087,61.0,276,22,7.97,1.99 (1.58-2.39),254,92.03,3.72 (3.50-3.95),13.94,4.35
oligodendrocytes 10,735.0,0.128,68.0,277,11,3.97,3.83 (3.60-4.05),266,96.03,3.90 (3.64-4.15),3.75,9.16
connective tissue cells 21,86.0,0.327,79.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95),NA,1.48
astrocytes 15,1401.0,0.068,33.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,123.0,0.228,61.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,409.0,0.129,54.0,235,31,13.19,3.51 (2.96-4.07),204,86.81,4.08 (3.80-4.35),4.91,4.34
astrocytes microglia 23,61.0,0.34,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.149,59.0,104,18,17.31,1.53 (1.14-1.92),86,82.69,3.17 (2.87-3.46),13.14,3.78
oligodendrocytes 0,2078.0,0.093,12.0,238,7,2.94,2.11 (1.26-2.95),231,97.06,3.69 (3.47-3.91),8.51,4.92
microglia 1,1615.0,0.085,15.0,161,24,14.91,1.33 (0.99-1.67),137,85.09,3.70 (3.45-3.96),13.31,4.05
oligodendrocytes 3,743.0,0.081,50.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.145,57.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52),5.25,3.57
