tipo_celular,module_size,SEMA5A_MM,SEMA5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.132,52.0,219,45,20.55,5.48 (4.91-6.05),174,79.45,5.12 (4.79-5.46),5.67,4.34
GABA neurons expressing GLU receptors 22,714.0,0.134,21.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,685.0,0.293,91.0,135,27,20.0,3.19 (2.55-3.82),108,80.0,3.19 (2.84-3.54),4.10,3.66
da like neurons 11,168.0,0.439,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.533,92.0,62,9,14.52,4.98 (3.94-6.02),53,85.48,3.86 (3.38-4.34),2.09,4.57
oligodendrocytes 20,271.0,0.249,78.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,1300.0,0.069,5.0,306,94,30.72,4.73 (4.24-5.21),212,69.28,5.31 (5.01-5.61),9.09,5.65
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.218,77.0,32,8,25.0,2.95 (1.07-4.82),24,75.0,3.36 (2.49-4.24),2.55,2.61
oligodendrocytes 10,1277.0,0.193,89.0,27,5,18.52,7.31 (5.40-9.21),22,81.48,5.17 (4.28-6.06),1.81,7.41
connective tissue cells 21,114.0,0.192,17.0,19,16,84.21,4.99 (4.12-5.85),3,15.79,4.47 (4.47-4.47),1.98,2.88
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,199.0,0.182,63.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.13,27.0,300,11,3.67,3.76 (3.20-4.32),289,96.33,3.79 (3.58-4.01),5.62,4.10
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.231,84.0,6,2,33.33,5.55 (5.23-5.87),4,66.67,6.20 (4.76-7.64),2.09,2.02
oligodendrocytes 2,347.0,0.34,92.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
