tipo_celular,module_size,ATG16L1_MM,ATG16L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.191,72.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,57,16.15,2.29 (1.86-2.72),296,83.85,4.24 (4.06-4.42),19.46,5.87
GABA neurons expressing GLU receptors 22,599.0,0.259,73.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1316.0,0.049,2.0,101,7,6.93,4.21 (3.02-5.40),94,93.07,2.94 (2.58-3.30),3.63,3.01
da like neurons 11,59.0,0.091,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.442,95.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052.0,0.159,67.0,125,8,6.4,3.39 (3.02-3.75),117,93.6,3.35 (3.01-3.69),4.34,8.91
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,34,12.32,2.24 (1.89-2.59),242,87.68,3.77 (3.53-4.00),10.57,4.34
oligodendrocytes 10,2107.0,0.058,8.0,358,51,14.25,2.28 (1.81-2.75),307,85.75,4.18 (4.00-4.37),21.76,7.43
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.266,77.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA),1.88,1.73
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,100.0,0.394,91.0,9,2,22.22,2.85 (2.21-3.49),7,77.78,4.27 (3.06-5.47),1.90,1.68
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.119,59.0,238,21,8.82,3.36 (2.42-4.31),217,91.18,3.66 (3.43-3.88),7.49,4.78
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.075,32.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,1630.0,0.157,81.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
