tipo_celular,module_size,GNA11_MM,GNA11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.106,14.0,353,20,5.67,1.54 (1.04-2.03),333,94.33,4.08 (3.90-4.25),27.79,6.88
GABA neurons expressing GLU receptors 22,487.0,0.13,16.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,145.0,0.058,3.0,1,1,100.0,NA,0,0.0,NA,1.63,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.119,26.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,938.0,0.115,44.0,169,14,8.28,2.88 (1.76-4.01),155,91.72,3.52 (3.30-3.74),8.44,5.09
GABA like neurons 14,2090.0,0.074,4.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.04,12.0,103,3,2.91,4.83 (4.35-5.30),100,97.09,5.58 (5.18-5.98),4.91,3.03
oligodendrocytes 10,806.0,0.094,24.0,261,33,12.64,3.26 (2.85-3.68),228,87.36,4.49 (4.23-4.75),6.54,6.00
connective tissue cells 21,301.0,0.326,37.0,158,6,3.8,2.44 (1.04-3.85),152,96.2,4.36 (3.99-4.73),5.77,7.12
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,84.0,0.132,14.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.091,11.0,238,5,2.1,2.04 (0.94-3.14),233,97.9,3.68 (3.46-3.90),6.49,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.041,3.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.34,7.37
oligodendrocytes 2,1630.0,0.157,80.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
