tipo_celular,module_size,JAM3_MM,JAM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,165.0,0.242,70.0,51,2,3.92,6.20 (3.26-9.13),49,96.08,5.30 (4.61-5.99),2.35,2.98
oligodendrocyte progenitor cells 7,666.0,0.268,88.0,127,14,11.02,2.94 (2.01-3.87),113,88.98,4.01 (3.66-4.36),3.87,6.08
GABA neurons expressing GLU receptors 22,567.0,0.306,82.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637.0,0.29,81.0,91,22,24.18,2.57 (1.79-3.35),69,75.82,5.50 (5.03-5.97),3.40,2.95
da like neurons 11,408.0,0.119,30.0,25,10,40.0,2.20 (1.10-3.29),15,60.0,7.03 (5.98-8.08),2.06,2.42
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.263,63.0,74,4,5.41,3.90 (2.43-5.36),70,94.59,5.60 (5.03-6.18),3.43,3.65
oligodendrocytes 20,676.0,0.356,62.0,110,28,25.45,4.04 (3.41-4.67),82,74.55,5.52 (4.97-6.08),3.39,3.57
GABA like neurons 14,3052.0,0.128,40.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.463,90.0,48,2,4.17,3.49 (-1.81-8.80),46,95.83,4.48 (3.72-5.24),1.67,3.21
oligodendrocyte progenitor cells 12,708.0,0.263,85.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,236.0,0.677,94.0,82,19,23.17,5.27 (4.55-6.00),63,76.83,4.88 (4.20-5.55),2.66,4.19
connective tissue cells 21,250.0,0.304,48.0,117,23,19.66,4.02 (3.33-4.71),94,80.34,5.87 (5.46-6.29),4.17,3.63
astrocytes 15,261.0,0.241,85.0,8,4,50.0,2.06 (0.06-4.05),4,50.0,5.84 (3.57-8.12),1.61,2.05
oligodendrocytes 16,287.0,0.429,83.0,105,33,31.43,3.99 (3.32-4.65),72,68.57,6.05 (5.65-6.45),3.40,3.50
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.296,41.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,102.0,0.184,45.0,42,4,9.52,5.58 (3.74-7.42),38,90.48,5.70 (4.90-6.49),2.25,3.26
oligodendrocytes 0,261.0,0.193,55.0,42,14,33.33,2.54 (1.72-3.36),28,66.67,5.24 (4.58-5.90),2.01,2.41
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,99.0,0.288,81.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237.0,0.178,29.0,26,1,3.85,4.70 (NA-NA),25,96.15,5.28 (4.24-6.31),1.56,2.59
