tipo_celular,module_size,UQCRFS1_MM,UQCRFS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.199,69.0,164,16,9.76,3.54 (2.95-4.13),148,90.24,4.17 (3.80-4.53),5.44,7.75
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.248,70.0,410,27,6.59,3.50 (2.95-4.04),383,93.41,4.32 (4.12-4.52),19.54,6.67
GABA neurons expressing GABA receptors 13,417.0,0.121,19.0,213,38,17.84,2.74 (2.18-3.29),175,82.16,4.06 (3.80-4.31),18.21,7.83
endothelial cells 9,916.0,0.169,38.0,302,25,8.28,3.38 (2.74-4.02),277,91.72,4.05 (3.82-4.29),23.52,9.49
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.579,94.0,455,35,7.69,2.85 (2.27-3.44),420,92.31,4.51 (4.33-4.70),25.79,7.42
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.124,66.0,235,17,7.23,3.54 (2.95-4.13),218,92.77,3.85 (3.60-4.10),9.85,7.44
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.181,74.0,235,20,8.51,3.45 (2.92-3.98),215,91.49,4.05 (3.77-4.32),6.94,4.18
astrocytes microglia 23,80.0,0.472,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
