tipo_celular,module_size,RER1_MM,RER1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.14,38.0,71,2,2.82,1.37 (-0.92-3.66),69,97.18,2.66 (2.25-3.08),2.08,3.62
T cells 18,393.0,0.153,50.0,59,2,3.39,3.09 (2.64-3.53),57,96.61,3.11 (2.59-3.63),2.89,5.43
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.136,30.0,164,3,1.83,4.24 (-1.54-10.01),161,98.17,4.08 (3.76-4.41),4.51,7.58
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.131,29.0,410,12,2.93,2.93 (1.99-3.87),398,97.07,4.30 (4.11-4.49),12.70,7.36
GABA neurons expressing GABA receptors 13,88.0,0.193,74.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,916.0,0.152,33.0,302,5,1.66,2.53 (0.16-4.90),297,98.34,4.01 (3.79-4.24),6.71,10.72
oligodendrocytes 20,938.0,0.152,63.0,169,10,5.92,2.65 (1.71-3.59),159,94.08,3.54 (3.32-3.77),3.71,5.47
GABA like neurons 14,2402.0,0.265,59.0,455,19,4.18,2.50 (1.58-3.41),436,95.82,4.45 (4.27-4.63),26.82,8.05
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.098,54.0,235,2,0.85,4.24 (-1.54-10.01),233,99.15,3.82 (3.59-4.05),2.96,7.65
oligodendrocytes 10,735.0,0.143,73.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,301.0,0.298,29.0,158,2,1.27,1.39 (-0.26-3.05),156,98.73,4.31 (3.94-4.67),9.84,7.03
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.251,70.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,729.0,0.09,17.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,121.0,0.455,100.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.103,27.0,238,5,2.1,2.66 (1.15-4.16),233,97.9,3.66 (3.44-3.88),6.56,4.99
microglia 1,406.0,0.103,18.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,743.0,0.09,62.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.178,23.0,213,1,0.47,7.18 (NA-NA),212,99.53,3.96 (3.69-4.23),2.68,7.96
