tipo_celular,module_size,PRRC2B_MM,PRRC2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.215,62.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,610,0.083,6.0,98,3,3.06,1.79 (0.08-3.50),95,96.94,3.17 (2.85-3.48),2.72,4.08
astrocytes 5,322,0.136,31.0,58,3,5.17,2.95 (2.58-3.31),55,94.83,4.25 (3.81-4.70),2.32,2.32
oligodendrocyte progenitor cells 7,4285,0.149,71.0,353,6,1.7,1.45 (0.59-2.31),347,98.3,3.94 (3.76-4.13),15.99,7.93
GABA neurons expressing GLU receptors 22,487,0.224,54.0,73,1,1.37,1.55 (NA-NA),72,98.63,2.77 (2.39-3.16),3.80,7.38
GLU like neurons 17,637,0.11,27.0,91,3,3.3,1.58 (0.19-2.97),88,96.7,4.67 (4.15-5.20),1.86,3.10
da like neurons 11,853,0.088,16.0,133,3,2.26,1.00 (0.20-1.79),130,97.74,3.32 (3.00-3.63),4.06,4.16
GABA neurons expressing GABA receptors 13,200,0.134,37.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,586,0.153,35.0,62,2,3.23,3.13 (3.13-3.13),60,96.77,4.08 (3.62-4.54),1.80,4.29
oligodendrocytes 20,221,0.132,20.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402,0.091,6.0,455,4,0.88,1.64 (0.53-2.75),451,99.12,4.37 (4.19-4.56),23.66,8.70
astrocytes 8,1266,0.078,47.0,66,1,1.52,0.21 (NA-NA),65,98.48,3.28 (2.87-3.69),5.85,2.91
oligodendrocyte progenitor cells 12,3303,0.062,29.0,276,5,1.81,1.70 (0.83-2.57),271,98.19,3.59 (3.37-3.81),8.35,5.05
oligodendrocytes 10,2107,0.138,47.0,358,6,1.68,1.45 (0.59-2.31),352,98.32,3.92 (3.72-4.11),13.05,9.41
connective tissue cells 21,114,0.171,5.0,11,0,0.0,NA,11,100.0,1.61 (0.55-2.67),NA,2.14
astrocytes 15,1401,0.069,34.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,155,0.213,47.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56),NA,1.65
da neurons 6,307,0.151,72.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,229,0.299,54.0,99,3,3.03,2.95 (2.58-3.31),96,96.97,4.35 (4.00-4.69),3.77,3.22
astrocytes 4,171,0.139,27.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46),NA,2.02
oligodendrocytes 0,1186,0.137,36.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.097,31.0,161,5,3.11,1.10 (0.47-1.72),156,96.89,3.36 (3.09-3.63),4.06,5.48
oligodendrocytes 3,854,0.078,36.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,921,0.113,15.0,200,1,0.5,3.22 (NA-NA),199,99.5,3.62 (3.36-3.89),13.88,3.41
