tipo_celular,module_size,TPST1_MM,TPST1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.556,100.0,58,2,3.45,NA,56,96.55,4.17 (3.75-4.60),1.47,2.35
oligodendrocyte progenitor cells 7,4285.0,0.171,94.0,353,25,7.08,1.78 (1.30-2.27),328,92.92,4.10 (3.92-4.28),28.39,6.51
GABA neurons expressing GLU receptors 22,1069.0,0.175,57.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,685.0,0.143,57.0,135,8,5.93,1.49 (0.88-2.10),127,94.07,3.32 (3.00-3.63),4.78,3.68
da like neurons 11,109.0,0.346,84.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.12,44.0,297,2,0.67,2.98 (2.09-3.86),295,99.33,3.68 (3.47-3.88),11.50,5.48
oligodendrocytes 20,233.0,0.131,18.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300.0,0.348,96.0,306,7,2.29,2.26 (1.39-3.12),299,97.71,5.19 (4.93-5.45),3.60,6.78
astrocytes 8,283.0,0.22,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.12,90.0,276,18,6.52,2.36 (1.85-2.88),258,93.48,3.65 (3.42-3.87),11.21,4.68
oligodendrocytes 10,1277.0,0.077,28.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,92.0,0.24,22.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1401.0,0.23,98.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,149.0,0.165,33.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,398.0,0.104,24.0,138,5,3.62,2.10 (0.74-3.45),133,96.38,4.95 (4.58-5.31),2.21,2.75
astrocytes microglia 23,91.0,0.521,98.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171.0,0.501,100.0,22,1,4.55,4.56 (NA-NA),21,95.45,4.54 (3.56-5.52),1.34,2.05
oligodendrocytes 0,1186.0,0.112,10.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.11,72.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,804.0,0.131,25.0,84,9,10.71,2.22 (1.42-3.01),75,89.29,2.76 (2.40-3.13),4.29,3.29
