tipo_celular,module_size,RFTN1_MM,RFTN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.074,3.0,102,25,24.51,2.30 (1.88-2.71),77,75.49,3.92 (3.49-4.34),3.54,2.87
T cells 18,393.0,0.172,61.0,59,3,5.08,4.76 (3.35-6.17),56,94.92,3.01 (2.49-3.52),2.20,5.51
astrocytes 5,322.0,0.302,89.0,58,9,15.52,2.48 (1.91-3.06),49,84.48,4.55 (4.13-4.98),2.08,2.36
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,289.0,0.213,65.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.134,55.0,297,1,0.34,6.08 (NA-NA),296,99.66,3.66 (3.46-3.87),2.94,5.53
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,354.0,0.073,20.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.201,97.0,96,6,6.25,2.38 (1.77-3.00),90,93.75,3.71 (3.24-4.19),2.30,3.90
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.272,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,171.0,0.166,46.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61),1.65,2.03
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.17,41.0,163,14,8.59,3.40 (2.93-3.88),149,91.41,3.74 (3.45-4.03),3.40,5.33
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
