tipo_celular,module_size,CEP128_MM,CEP128_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.173,56.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,624.0,0.254,96.0,142,3,2.11,5.06 (NA-NA),139,97.89,3.19 (2.93-3.46),5.66,4.27
astrocytes 5,499.0,0.128,26.0,32,2,6.25,4.33 (NA-NA),30,93.75,5.06 (4.54-5.57),3.77,3.80
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,26,7.37,1.94 (1.38-2.50),327,92.63,4.07 (3.89-4.25),24.06,6.79
GABA neurons expressing GLU receptors 22,400.0,0.105,6.0,24,14,58.33,1.65 (0.98-2.33),10,41.67,2.86 (2.31-3.41),4.15,2.79
GLU like neurons 17,637.0,0.105,23.0,91,7,7.69,0.47 (0.28-0.65),84,92.31,5.01 (4.56-5.46),3.73,3.00
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.067,21.0,169,7,4.14,2.32 (1.43-3.21),162,95.86,3.54 (3.32-3.76),4.93,5.38
GABA like neurons 14,3052.0,0.102,19.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,771.0,0.084,33.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303.0,0.096,71.0,276,14,5.07,2.37 (1.67-3.08),262,94.93,3.61 (3.38-3.83),7.08,5.01
oligodendrocytes 10,2107.0,0.29,88.0,358,22,6.15,1.77 (1.12-2.42),336,93.85,4.01 (3.82-4.20),23.56,8.55
connective tissue cells 21,136.0,0.326,64.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,1401.0,0.053,19.0,96,5,5.21,2.63 (1.50-3.76),91,94.79,3.68 (3.21-4.15),6.46,3.65
oligodendrocytes 16,90.0,0.218,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.278,20.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,787.0,0.12,8.0,65,1,1.54,4.33 (NA-NA),64,98.46,2.94 (2.54-3.33),1.80,5.81
oligodendrocytes 0,1186.0,0.142,45.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00),4.41,4.15
microglia 1,1615.0,0.128,74.0,161,14,8.7,1.38 (0.66-2.09),147,91.3,3.48 (3.22-3.74),12.84,4.73
oligodendrocytes 3,681.0,0.144,84.0,87,7,8.05,1.26 (0.70-1.81),80,91.95,2.71 (2.43-2.99),6.30,4.06
oligodendrocytes 2,921.0,0.14,55.0,200,6,3.0,2.54 (1.45-3.62),194,97.0,3.65 (3.38-3.92),2.95,3.48
