tipo_celular,module_size,ACOT11_MM,ACOT11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.166,56.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.355,92.0,98,2,2.04,1.61 (-0.00-3.22),96,97.96,4.67 (4.27-5.07),3.42,2.63
oligodendrocyte progenitor cells 7,200.0,0.265,82.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.199,83.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,200.0,0.208,60.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.244,93.0,74,3,4.05,1.98 (0.90-3.05),71,95.95,2.97 (2.59-3.36),3.56,10.79
astrocytes 8,279.0,0.38,97.0,78,9,11.54,2.50 (2.12-2.87),69,88.46,4.60 (4.17-5.03),2.99,2.67
oligodendrocyte progenitor cells 12,3303.0,0.083,55.0,276,17,6.16,2.06 (1.56-2.56),259,93.84,3.67 (3.45-3.90),12.70,4.61
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,104.0,0.43,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.578,97.0,54,1,1.85,3.70 (NA-NA),53,98.15,3.68 (3.23-4.13),2.44,3.02
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,46.0,0.177,7.0,73,4,5.48,3.38 (2.36-4.41),69,94.52,4.11 (3.79-4.44),2.68,5.42
astrocytes 4,251.0,0.313,97.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,346.0,0.124,32.0,43,2,4.65,3.56 (1.90-5.22),41,95.35,3.78 (3.25-4.31),1.34,4.64
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
