tipo_celular,module_size,COL4A2_MM,COL4A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.216,70.0,58,20,34.48,4.13 (3.40-4.85),38,65.52,4.21 (3.68-4.73),1.98,2.49
oligodendrocyte progenitor cells 7,200.0,0.113,21.0,16,1,6.25,2.43 (NA-NA),15,93.75,4.04 (3.20-4.89),1.63,4.46
GABA neurons expressing GLU receptors 22,823.0,0.19,56.0,23,1,4.35,3.78 (NA-NA),22,95.65,2.31 (1.57-3.06),1.46,3.51
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.467,94.0,54,3,5.56,4.70 (4.08-5.32),51,94.44,4.85 (4.17-5.53),3.96,5.10
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,218.0,0.146,67.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.078,49.0,276,10,3.62,1.81 (1.19-2.42),266,96.38,3.63 (3.41-3.85),15.65,4.71
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,152.0,0.442,97.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,338.0,0.139,43.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.358,68.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,161.0,0.16,40.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
