tipo_celular,module_size,ATP1B3_MM,ATP1B3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.69,100.0,102,12,11.76,2.46 (1.71-3.22),90,88.24,3.63 (3.24-4.02),2.77,3.07
T cells 18,477,0.297,95.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.312,95.0,80,2,2.5,1.04 (NA-NA),78,97.5,3.44 (2.96-3.91),3.49,5.06
oligodendrocyte progenitor cells 7,666,0.209,76.0,127,18,14.17,2.51 (1.73-3.29),109,85.83,4.05 (3.70-4.40),4.03,6.14
GABA neurons expressing GLU receptors 22,599,0.449,99.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316,0.131,57.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,289,0.089,9.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,265,0.176,60.0,78,9,11.54,3.35 (2.69-4.02),69,88.46,4.54 (4.08-4.99),4.51,4.23
endothelial cells 9,303,0.319,82.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,348,0.211,77.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052,0.139,50.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.226,95.0,83,3,3.61,0.87 (NA-NA),80,96.39,3.29 (2.84-3.74),2.48,4.55
oligodendrocyte progenitor cells 12,3303,0.098,72.0,276,11,3.99,1.91 (1.26-2.55),265,96.01,3.63 (3.41-3.85),9.92,4.91
oligodendrocytes 10,735,0.122,64.0,277,2,0.72,5.17 (5.12-5.21),275,99.28,3.88 (3.64-4.12),2.23,8.99
connective tissue cells 21,183,0.37,80.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,1401,0.102,65.0,96,4,4.17,2.39 (1.52-3.27),92,95.83,3.68 (3.21-4.14),2.70,3.84
oligodendrocytes 16,69,0.235,61.0,1,1,100.0,NA,0,0.0,NA,1.56,NA
da neurons 6,409,0.128,53.0,235,6,2.55,4.64 (4.03-5.25),229,97.45,3.96 (3.70-4.21),5.58,4.38
astrocytes microglia 23,327,0.585,95.0,120,17,14.17,2.25 (1.38-3.11),103,85.83,3.79 (3.48-4.09),3.63,2.66
astrocytes 4,514,0.477,98.0,95,5,5.26,0.90 (0.75-1.04),90,94.74,3.48 (3.05-3.90),3.18,4.72
oligodendrocytes 0,613,0.195,88.0,127,7,5.51,3.50 (3.11-3.88),120,94.49,3.01 (2.57-3.46),4.05,6.41
microglia 1,480,0.333,90.0,163,2,1.23,4.83 (4.22-5.45),161,98.77,3.69 (3.42-3.96),3.47,5.19
oligodendrocytes 3,681,0.088,43.0,87,7,8.05,1.89 (0.65-3.13),80,91.95,2.64 (2.36-2.91),3.64,4.29
oligodendrocytes 2,921,0.184,96.0,200,1,0.5,2.00 (NA-NA),199,99.5,3.63 (3.36-3.90),1.73,3.47
