tipo_celular,module_size,RNF216_MM,RNF216_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.142,14.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,282.0,0.175,48.0,12,1,8.33,4.91 (NA-NA),11,91.67,3.16 (1.97-4.34),1.57,5.72
astrocytes 5,932.0,0.134,81.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.162,87.0,353,60,17.0,2.56 (2.20-2.91),293,83.0,4.22 (4.03-4.41),20.90,5.43
GABA neurons expressing GLU receptors 22,1069.0,0.276,98.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,229.0,0.146,20.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,140.0,0.224,48.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.158,72.0,297,13,4.38,4.06 (3.15-4.97),284,95.62,3.66 (3.46-3.87),9.10,5.35
oligodendrocytes 20,403.0,0.291,92.0,18,11,61.11,1.35 (0.68-2.01),7,38.89,2.71 (1.51-3.92),4.35,2.91
GABA like neurons 14,1300.0,0.392,99.0,306,11,3.59,2.05 (1.37-2.73),295,96.41,5.26 (5.01-5.52),5.03,6.77
astrocytes 8,283.0,0.222,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.161,66.0,32,9,28.12,1.61 (0.66-2.55),23,71.88,4.02 (3.10-4.95),3.44,2.27
oligodendrocytes 10,2107.0,0.201,70.0,358,65,18.16,2.51 (2.15-2.87),293,81.84,4.24 (4.04-4.44),24.66,6.10
connective tissue cells 21,88.0,0.227,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.164,59.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,112.0,0.198,70.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,398.0,0.084,11.0,138,14,10.14,2.06 (1.43-2.70),124,89.86,5.20 (4.85-5.55),2.66,2.74
astrocytes microglia 23,253.0,0.285,71.0,47,9,19.15,2.71 (1.85-3.58),38,80.85,2.87 (2.51-3.23),1.90,3.36
astrocytes 4,752.0,0.11,4.0,96,15,15.62,3.83 (3.16-4.49),81,84.38,3.20 (2.83-3.57),2.82,4.60
oligodendrocytes 0,1186.0,0.139,39.0,300,8,2.67,3.52 (2.62-4.43),292,97.33,3.80 (3.59-4.01),6.85,4.08
microglia 1,958.0,0.107,44.0,290,16,5.52,2.76 (2.14-3.39),274,94.48,3.89 (3.65-4.13),5.36,4.98
oligodendrocytes 3,1003.0,0.081,34.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65),3.66,4.25
oligodendrocytes 2,407.0,0.171,66.0,122,33,27.05,1.96 (1.56-2.36),89,72.95,4.05 (3.59-4.51),3.48,2.41
