tipo_celular,module_size,GABPA_MM,GABPA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.143,38.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,624.0,0.113,21.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.14,86.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.133,48.0,353,48,13.6,1.89 (1.63-2.15),305,86.4,4.32 (4.14-4.49),22.60,5.78
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.078,12.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88),5.84,5.52
oligodendrocytes 20,228.0,0.239,65.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,3052.0,0.101,19.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,218.0,0.025,2.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.084,57.0,276,43,15.58,1.99 (1.77-2.21),233,84.42,3.94 (3.71-4.17),9.34,4.33
oligodendrocytes 10,1277.0,0.063,19.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,112.0,0.195,28.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,1768.0,0.037,5.0,105,15,14.29,1.37 (1.05-1.69),90,85.71,3.55 (3.21-3.89),7.65,3.37
oligodendrocytes 16,151.0,0.245,82.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.294,40.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,1807.0,0.136,34.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56),11.15,3.76
oligodendrocytes 0,2078.0,0.144,96.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.96),6.18,4.96
microglia 1,1615.0,0.096,29.0,161,50,31.06,1.97 (1.71-2.23),111,68.94,4.07 (3.78-4.36),9.41,3.64
oligodendrocytes 3,681.0,0.075,31.0,87,43,49.43,2.03 (1.80-2.26),44,50.57,3.23 (2.78-3.67),5.38,3.13
oligodendrocytes 2,1630.0,0.137,41.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
