tipo_celular,module_size,COPG2_MM,COPG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.101,10.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.11,40.0,136,10,7.35,3.89 (3.52-4.26),126,92.65,3.15 (2.86-3.44),3.53,5.10
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,31,8.78,2.75 (2.20-3.31),322,91.22,4.04 (3.84-4.23),21.61,6.76
GABA neurons expressing GLU receptors 22,714.0,0.156,36.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,637.0,0.085,15.0,91,12,13.19,1.82 (0.81-2.83),79,86.81,5.13 (4.66-5.60),3.23,3.03
da like neurons 11,140.0,0.367,92.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.313,89.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,3052.0,0.112,27.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283.0,0.115,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,23,8.33,3.70 (3.16-4.23),253,91.67,3.52 (3.29-3.76),7.11,4.93
oligodendrocytes 10,735.0,0.036,5.0,277,4,1.44,4.76 (4.35-5.17),273,98.56,3.88 (3.63-4.12),2.26,9.04
connective tissue cells 21,139.0,0.259,24.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,458.0,0.02,2.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,116.0,0.162,21.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.302,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.121,13.0,104,16,15.38,3.12 (2.38-3.86),88,84.62,2.81 (2.51-3.12),6.93,5.12
oligodendrocytes 0,2078.0,0.121,63.0,238,13,5.46,3.60 (2.77-4.42),225,94.54,3.64 (3.41-3.87),5.80,4.98
microglia 1,1615.0,0.09,22.0,161,13,8.07,1.48 (0.77-2.20),148,91.93,3.47 (3.20-3.73),12.40,4.82
oligodendrocytes 3,854.0,0.101,62.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13),2.20,4.79
oligodendrocytes 2,804.0,0.129,23.0,84,3,3.57,0.65 (0.20-1.09),81,96.43,2.78 (2.45-3.12),2.95,3.41
