tipo_celular,module_size,ZDHHC20_MM,ZDHHC20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.337,96.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,349.0,0.166,45.0,68,7,10.29,2.98 (1.94-4.03),61,89.71,4.59 (3.99-5.19),3.06,3.34
astrocytes 5,165.0,0.192,52.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229.0,0.236,69.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567.0,0.142,27.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74),1.65,3.92
GLU like neurons 17,637.0,0.328,85.0,91,12,13.19,1.12 (0.64-1.61),79,86.81,5.28 (4.86-5.70),3.80,2.95
da like neurons 11,408.0,0.236,63.0,25,4,16.0,1.42 (0.66-2.18),21,84.0,5.41 (4.04-6.79),2.40,2.25
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.364,75.0,74,2,2.7,3.33 (0.22-6.44),72,97.3,5.55 (5.00-6.11),2.94,3.66
oligodendrocytes 20,330.0,0.14,35.0,36,2,5.56,1.21 (0.81-1.61),34,94.44,1.96 (1.60-2.33),3.08,3.13
GABA like neurons 14,1300.0,0.205,50.0,306,17,5.56,2.48 (1.98-2.98),289,94.44,5.33 (5.07-5.59),4.64,6.83
astrocytes 8,771.0,0.496,92.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.411,93.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,204.0,0.434,48.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28),7.06,3.65
connective tissue cells 21,250.0,0.259,35.0,117,6,5.13,2.07 (1.62-2.51),111,94.87,5.62 (5.25-5.99),4.56,3.69
astrocytes 15,458.0,0.132,68.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287.0,0.254,36.0,105,5,4.76,2.22 (1.83-2.62),100,95.24,5.29 (4.86-5.73),4.20,3.43
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,107.0,0.24,12.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,102.0,0.174,35.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,261.0,0.179,44.0,42,2,4.76,1.74 (1.73-1.75),40,95.24,4.22 (3.51-4.92),1.89,2.29
microglia 1,127.0,0.176,48.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12),2.39,2.48
oligodendrocytes 3,242.0,0.261,91.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.226,63.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
