tipo_celular,module_size,KDM3A_MM,KDM3A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.071,4.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,624.0,0.092,8.0,142,1,0.7,4.23 (NA-NA),141,99.3,3.20 (2.93-3.47),4.29,4.30
astrocytes 5,1141.0,0.113,25.0,166,38,22.89,2.18 (1.85-2.51),128,77.11,3.84 (3.56-4.12),6.21,4.06
oligodendrocyte progenitor cells 7,666.0,0.179,60.0,127,12,9.45,2.39 (1.66-3.12),115,90.55,4.07 (3.72-4.41),4.18,6.01
GABA neurons expressing GLU receptors 22,823.0,0.156,35.0,23,3,13.04,2.67 (1.01-4.33),20,86.96,2.34 (1.52-3.17),2.00,3.64
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,120.0,0.158,23.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.134,24.0,120,13,10.83,3.41 (2.61-4.20),107,89.17,4.78 (4.45-5.11),4.60,3.54
oligodendrocytes 20,330.0,0.061,14.0,36,17,47.22,1.93 (1.74-2.12),19,52.78,1.91 (1.23-2.59),2.73,3.48
GABA like neurons 14,3052.0,0.15,60.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.078,29.0,29,2,6.9,2.94 (0.73-5.15),27,93.1,2.32 (1.80-2.83),3.11,3.58
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,53,19.2,2.16 (1.90-2.42),223,80.8,4.00 (3.76-4.23),10.18,3.90
oligodendrocytes 10,2107.0,0.118,38.0,358,74,20.67,2.13 (1.85-2.42),284,79.33,4.47 (4.30-4.64),23.25,5.88
connective tissue cells 21,84.0,0.342,86.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,367.0,0.168,67.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,122.0,0.358,96.0,11,5,45.45,3.52 (2.71-4.33),6,54.55,3.65 (3.51-3.80),2.18,1.75
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,39.0,0.241,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.118,8.0,12,3,25.0,5.51 (NA-NA),9,75.0,4.44 (3.48-5.41),1.49,2.61
oligodendrocytes 0,2078.0,0.127,76.0,238,18,7.56,2.66 (2.17-3.15),220,92.44,3.73 (3.49-3.96),6.33,4.92
microglia 1,1615.0,0.134,80.0,161,60,37.27,2.12 (1.85-2.39),101,62.73,4.20 (3.91-4.50),8.93,3.35
oligodendrocytes 3,1003.0,0.066,17.0,111,2,1.8,3.47 (1.98-4.96),109,98.2,3.30 (2.95-3.65),1.60,4.28
oligodendrocytes 2,1630.0,0.144,56.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
