tipo_celular,module_size,NAA20_MM,NAA20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.15,40.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93),NA,3.57
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.07,3.0,410,6,1.46,2.10 (0.82-3.37),404,98.54,4.29 (4.11-4.48),11.49,7.46
GABA neurons expressing GABA receptors 13,417.0,0.131,26.0,213,14,6.57,0.84 (0.54-1.14),199,93.43,4.03 (3.81-4.25),8.56,9.76
endothelial cells 9,916.0,0.094,13.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,295.0,0.214,59.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2402.0,0.362,75.0,455,18,3.96,1.24 (0.73-1.75),437,96.04,4.52 (4.35-4.70),26.00,8.13
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.123,65.0,277,1,0.36,4.95 (NA-NA),276,99.64,3.89 (3.65-4.13),3.16,8.97
connective tissue cells 21,101.0,0.316,68.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,121.0,0.271,86.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80),2.92,1.68
da neurons 6,409.0,0.156,65.0,235,5,2.13,2.21 (0.72-3.69),230,97.87,4.03 (3.78-4.28),5.80,4.38
astrocytes microglia 23,96.0,0.366,73.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.096,16.0,238,7,2.94,2.61 (1.79-3.43),231,97.06,3.67 (3.45-3.90),8.81,4.91
microglia 1,958.0,0.095,24.0,290,4,1.38,3.45 (2.47-4.44),286,98.62,3.82 (3.59-4.05),4.85,5.00
oligodendrocytes 3,743.0,0.08,48.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.138,42.0,154,2,1.3,4.10 (4.03-4.17),152,98.7,3.23 (2.96-3.50),1.74,3.62
