tipo_celular,module_size,GRHPR_MM,GRHPR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.1,25.0,136,3,2.21,1.23 (NA-NA),133,97.79,3.23 (2.95-3.50),3.54,5.02
oligodendrocyte progenitor cells 7,628.0,0.161,47.0,164,3,1.83,4.23 (3.94-4.52),161,98.17,4.08 (3.75-4.42),6.46,7.55
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,65.0,0.088,2.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,916.0,0.085,10.0,302,5,1.66,3.22 (1.68-4.75),297,98.34,4.00 (3.77-4.23),11.16,10.64
oligodendrocytes 20,233.0,0.085,8.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402.0,0.186,37.0,455,22,4.84,1.72 (1.06-2.38),433,95.16,4.49 (4.31-4.67),28.74,7.82
astrocytes 8,603.0,0.072,46.0,89,2,2.25,1.03 (0.62-1.43),87,97.75,2.82 (2.46-3.17),7.42,6.01
oligodendrocyte progenitor cells 12,1049.0,0.116,63.0,235,8,3.4,3.97 (3.42-4.52),227,96.6,3.82 (3.58-4.06),13.84,7.39
oligodendrocytes 10,735.0,0.091,47.0,277,2,0.72,3.95 (2.92-4.98),275,99.28,3.89 (3.65-4.14),2.39,8.99
connective tissue cells 21,101.0,0.281,55.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,1768.0,0.028,2.0,105,10,9.52,1.49 (0.96-2.03),95,90.48,3.41 (3.06-3.75),9.90,3.36
oligodendrocytes 16,113.0,0.156,32.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,409.0,0.106,38.0,235,19,8.09,3.09 (2.40-3.78),216,91.91,4.07 (3.81-4.34),5.52,4.32
astrocytes microglia 23,110.0,0.24,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.156,71.0,104,12,11.54,1.43 (0.96-1.91),92,88.46,3.07 (2.78-3.36),15.22,4.12
oligodendrocytes 0,546.0,0.14,32.0,252,23,9.13,1.83 (1.18-2.48),229,90.87,4.34 (4.10-4.58),18.79,7.15
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.064,23.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.205,30.0,213,1,0.47,4.47 (NA-NA),212,99.53,3.98 (3.70-4.25),7.67,7.94
