tipo_celular,module_size,CHST12_MM,CHST12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.156,59.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,932.0,0.158,94.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,28,7.93,1.76 (1.32-2.20),325,92.07,4.13 (3.96-4.31),24.32,6.66
GABA neurons expressing GLU receptors 22,1069.0,0.175,57.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489.0,0.085,15.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,109.0,0.1,8.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.107,28.0,155,1,0.65,2.86 (NA-NA),154,99.35,4.35 (3.99-4.72),1.71,4.35
oligodendrocytes 20,938.0,0.066,21.0,169,7,4.14,1.55 (0.86-2.25),162,95.86,3.58 (3.37-3.80),6.51,5.31
GABA like neurons 14,2090.0,0.2,79.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33),3.66,10.69
astrocytes 8,283.0,0.155,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,218.0,0.048,18.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,2107.0,0.151,52.0,358,18,5.03,1.17 (0.75-1.59),340,94.97,4.06 (3.87-4.24),32.61,8.25
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.045,22.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,74.0,0.134,17.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.306,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.19,97.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.059,1.0,238,7,2.94,2.31 (1.47-3.16),231,97.06,3.68 (3.46-3.91),5.74,5.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.075,13.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,1630.0,0.118,11.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
