tipo_celular,module_size,SEC11C_MM,SEC11C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.184,59.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.169,53.0,164,10,6.1,3.73 (2.82-4.64),154,93.9,4.11 (3.77-4.46),7.22,7.55
GABA neurons expressing GLU receptors 22,848.0,0.184,39.0,262,13,4.96,2.56 (1.76-3.36),249,95.04,4.28 (4.03-4.53),4.03,4.11
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.234,66.0,410,18,4.39,3.14 (2.41-3.86),392,95.61,4.32 (4.12-4.51),8.60,7.47
GABA neurons expressing GABA receptors 13,417.0,0.168,56.0,213,18,8.45,1.39 (0.82-1.96),195,91.55,4.05 (3.83-4.28),8.26,9.82
endothelial cells 9,338.0,0.132,50.0,191,1,0.52,2.61 (NA-NA),190,99.48,3.89 (3.67-4.12),2.02,9.20
oligodendrocytes 20,938.0,0.242,89.0,169,8,4.73,1.91 (1.03-2.78),161,95.27,3.58 (3.36-3.79),6.15,5.32
GABA like neurons 14,2402.0,0.419,82.0,455,27,5.93,2.20 (1.55-2.84),428,94.07,4.53 (4.35-4.71),21.76,8.02
astrocytes 8,520.0,0.08,30.0,288,12,4.17,2.34 (1.65-3.03),276,95.83,4.28 (4.08-4.48),5.49,4.65
oligodendrocyte progenitor cells 12,1049.0,0.109,60.0,235,10,4.26,3.99 (3.09-4.89),225,95.74,3.81 (3.57-4.05),4.41,7.76
oligodendrocytes 10,806.0,0.237,69.0,261,9,3.45,2.97 (2.31-3.63),252,96.55,4.43 (4.18-4.68),6.62,6.05
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.07,34.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,90.0,0.238,78.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.249,88.0,235,6,2.55,2.71 (1.29-4.14),229,97.45,4.02 (3.77-4.27),8.03,4.32
astrocytes microglia 23,53.0,0.379,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.134,31.0,104,21,20.19,2.04 (1.49-2.60),83,79.81,3.09 (2.78-3.40),9.55,4.35
oligodendrocytes 0,546.0,0.138,31.0,252,26,10.32,2.11 (1.48-2.74),226,89.68,4.41 (4.17-4.64),9.59,8.05
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.1,39.0,345,8,2.32,3.21 (2.29-4.13),337,97.68,4.30 (4.09-4.52),5.57,5.70
oligodendrocytes 2,526.0,0.331,71.0,213,2,0.94,3.93 (3.46-4.40),211,99.06,3.98 (3.70-4.26),3.06,7.98
