tipo_celular,module_size,CC2D2A_MM,CC2D2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.134,32.0,32,5,15.62,4.56 (4.33-4.79),27,84.38,5.17 (4.54-5.80),5.56,3.47
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,21,5.95,2.18 (1.57-2.79),332,94.05,4.02 (3.83-4.20),21.64,7.21
GABA neurons expressing GLU receptors 22,848.0,0.141,19.0,262,10,3.82,3.04 (2.16-3.93),252,96.18,4.22 (3.97-4.47),4.63,4.08
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,153.0,0.173,30.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.213,50.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.111,26.0,125,3,2.4,4.27 (3.72-4.82),122,97.6,3.32 (2.99-3.65),1.82,8.78
astrocytes 8,727.0,0.244,97.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,3303.0,0.06,27.0,276,9,3.26,2.30 (1.38-3.21),267,96.74,3.59 (3.37-3.81),6.59,5.06
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,139.0,0.238,22.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1768.0,0.09,53.0,105,8,7.62,2.29 (1.31-3.27),97,92.38,3.30 (2.95-3.65),4.64,3.92
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,46.0,0.3,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.12,7.0,65,7,10.77,4.27 (3.68-4.86),58,89.23,2.79 (2.37-3.20),2.53,6.13
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
