tipo_celular,module_size,UBR2_MM,UBR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.115,17.0,102,37,36.27,2.74 (2.34-3.15),65,63.73,3.97 (3.47-4.46),3.63,2.69
T cells 18,477.0,0.227,82.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141.0,0.115,27.0,166,52,31.33,3.10 (2.74-3.45),114,68.67,3.54 (3.21-3.88),4.81,4.43
oligodendrocyte progenitor cells 7,448.0,0.155,62.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,599.0,0.124,11.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1316.0,0.117,45.0,101,4,3.96,3.12 (2.49-3.76),97,96.04,3.05 (2.68-3.42),3.48,3.04
da like neurons 11,97.0,0.372,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.164,75.0,297,19,6.4,4.01 (3.49-4.54),278,93.6,3.65 (3.44-3.87),8.34,5.33
oligodendrocytes 20,295.0,0.149,33.0,28,1,3.57,1.43 (NA-NA),27,96.43,2.22 (1.75-2.70),1.95,3.11
GABA like neurons 14,1300.0,0.232,61.0,306,22,7.19,2.53 (2.00-3.06),284,92.81,5.40 (5.14-5.65),5.75,6.78
astrocytes 8,262.0,0.181,70.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,103.0,0.501,79.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,2107.0,0.265,84.0,358,77,21.51,2.82 (2.48-3.15),281,78.49,4.21 (4.00-4.42),16.21,7.63
connective tissue cells 21,82.0,0.263,46.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,1401.0,0.083,48.0,96,4,4.17,2.95 (1.90-4.01),92,95.83,3.65 (3.18-4.12),3.22,3.82
oligodendrocytes 16,81.0,0.181,52.0,3,2,66.67,NA,1,33.33,NA,2.62,1.59
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.236,40.0,47,11,23.4,2.88 (2.07-3.70),36,76.6,2.84 (2.47-3.20),2.19,3.36
astrocytes 4,752.0,0.155,52.0,96,16,16.67,3.77 (3.16-4.39),80,83.33,3.20 (2.83-3.57),2.77,4.63
oligodendrocytes 0,1186.0,0.162,79.0,300,22,7.33,3.94 (3.50-4.38),278,92.67,3.78 (3.56-4.00),4.42,4.13
microglia 1,1615.0,0.122,66.0,161,55,34.16,2.79 (2.40-3.18),106,65.84,3.57 (3.22-3.91),6.20,5.03
oligodendrocytes 3,1003.0,0.096,52.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65),3.66,4.25
oligodendrocytes 2,804.0,0.167,67.0,84,34,40.48,3.17 (2.68-3.67),50,59.52,2.32 (1.89-2.74),3.48,3.34
