tipo_celular,module_size,TUBD1_MM,TUBD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.086,16.0,80,2,2.5,4.57 (NA-NA),78,97.5,3.66 (3.24-4.07),1.69,4.37
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,567.0,0.16,36.0,16,2,12.5,3.39 (1.11-5.68),14,87.5,1.74 (1.10-2.37),2.04,3.86
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.041,15.0,110,11,10.0,2.39 (1.45-3.33),99,90.0,5.37 (4.95-5.80),3.56,3.52
GABA like neurons 14,2090.0,0.135,37.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.041,7.0,66,26,39.39,2.09 (1.52-2.65),40,60.61,4.00 (3.57-4.42),3.73,2.45
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.083,19.0,358,30,8.38,1.60 (1.22-1.99),328,91.62,4.13 (3.94-4.31),28.66,7.72
connective tissue cells 21,125.0,0.386,86.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,367.0,0.152,55.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,69.0,0.347,100.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.35,69.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,1807.0,0.125,17.0,104,10,9.62,1.72 (1.01-2.43),94,90.38,2.99 (2.70-3.29),16.54,4.21
oligodendrocytes 0,2078.0,0.089,9.0,238,5,2.1,1.98 (0.89-3.06),233,97.9,3.68 (3.46-3.90),5.52,5.01
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.054,11.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,1630.0,0.14,46.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
