tipo_celular,module_size,DDR1_MM,DDR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.178,56.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.242,81.0,164,6,3.66,3.98 (2.87-5.09),158,96.34,4.09 (3.75-4.43),4.72,7.63
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.131,40.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.047,1.0,455,16,3.52,1.96 (0.99-2.93),439,96.48,4.43 (4.25-4.61),24.02,8.28
astrocytes 8,603.0,0.142,80.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20),5.80,6.05
oligodendrocyte progenitor cells 12,1049.0,0.075,38.0,235,8,3.4,3.17 (1.87-4.48),227,96.6,3.84 (3.60-4.07),13.48,7.41
oligodendrocytes 10,1277.0,0.108,50.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.091,8.0,9,1,11.11,3.13 (NA-NA),8,88.89,3.29 (1.80-4.77),2.11,2.23
oligodendrocytes 16,64.0,0.174,43.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,41.0,0.35,55.0,3,0,0.0,NA,3,100.0,NA,NA,1.65
astrocytes 4,208.0,0.113,6.0,173,1,0.58,2.27 (NA-NA),172,99.42,3.81 (3.51-4.11),3.82,5.63
oligodendrocytes 0,546.0,0.187,60.0,252,17,6.75,1.98 (1.10-2.87),235,93.25,4.24 (4.00-4.49),20.99,7.29
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.154,94.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.376,93.0,175,13,7.43,3.36 (2.44-4.28),162,92.57,4.46 (4.10-4.83),12.00,4.03
