tipo_celular,module_size,RAD9A_MM,RAD9A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.131,79.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.133,48.0,353,34,9.63,1.77 (1.41-2.14),319,90.37,4.17 (3.99-4.35),29.26,5.80
GABA neurons expressing GLU receptors 22,1069.0,0.288,99.0,37,2,5.41,2.13 (0.94-3.32),35,94.59,2.16 (1.68-2.64),2.24,3.15
GLU like neurons 17,1247.0,0.174,74.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.28,97.0,133,21,15.79,1.49 (1.08-1.89),112,84.21,3.63 (3.31-3.96),5.34,3.94
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.123,47.0,297,15,5.05,3.23 (2.94-3.51),282,94.95,3.70 (3.49-3.92),5.56,5.52
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.431,100.0,306,12,3.92,1.87 (1.26-2.49),294,96.08,5.27 (5.02-5.53),4.80,6.78
astrocytes 8,1266.0,0.151,88.0,66,15,22.73,1.58 (1.03-2.12),51,77.27,3.82 (3.41-4.22),4.22,2.58
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,24,8.7,1.87 (1.51-2.23),252,91.3,3.76 (3.53-3.98),15.16,4.15
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,183.0,0.278,53.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,1768.0,0.08,45.0,105,16,15.24,1.67 (1.25-2.10),89,84.76,3.52 (3.16-3.87),8.32,3.20
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.248,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.174,87.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
