tipo_celular,module_size,DERL1_MM,DERL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.307,89.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,506.0,0.135,27.0,225,13,5.78,2.83 (1.86-3.81),212,94.22,3.67 (3.42-3.93),3.89,8.15
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,53,15.01,2.71 (2.28-3.15),300,84.99,4.16 (3.97-4.35),19.81,5.99
GABA neurons expressing GLU receptors 22,703.0,0.224,73.0,23,2,8.7,3.81 (2.57-5.04),21,91.3,1.92 (1.18-2.66),4.14,3.91
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.113,59.0,275,51,18.55,2.99 (2.44-3.55),224,81.45,4.27 (3.99-4.54),7.32,5.55
oligodendrocytes 20,676.0,0.053,24.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,3052.0,0.065,4.0,125,3,2.4,3.54 (2.65-4.43),122,97.6,3.35 (3.01-3.68),6.09,8.67
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.045,11.0,276,47,17.03,2.77 (2.41-3.14),229,82.97,3.75 (3.50-4.00),9.71,4.17
oligodendrocytes 10,735.0,0.086,42.0,277,14,5.05,6.67 (6.09-7.26),263,94.95,3.69 (3.46-3.92),2.78,9.27
connective tissue cells 21,139.0,0.327,67.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,65.0,0.299,93.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.297,39.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.119,59.0,238,16,6.72,3.37 (2.70-4.04),222,93.28,3.66 (3.43-3.89),7.38,4.85
microglia 1,958.0,0.096,26.0,290,30,10.34,3.28 (2.73-3.82),260,89.66,3.88 (3.64-4.13),4.98,5.00
oligodendrocytes 3,743.0,0.065,25.0,76,8,10.53,4.81 (3.79-5.84),68,89.47,2.94 (2.54-3.34),4.68,7.59
oligodendrocytes 2,1630.0,0.145,57.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
