tipo_celular,module_size,CPT1A_MM,CPT1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.179,65.0,59,1,1.69,2.86 (NA-NA),58,98.31,3.11 (2.60-3.62),3.80,5.37
astrocytes 5,932.0,0.116,61.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,666.0,0.185,64.0,127,2,1.57,2.07 (2.05-2.09),125,98.43,3.87 (3.53-4.21),3.80,5.87
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.179,76.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.1,27.0,133,10,7.52,1.28 (0.52-2.04),123,92.48,3.45 (3.13-3.76),5.52,4.05
GABA neurons expressing GABA receptors 13,266.0,0.193,67.0,118,2,1.69,3.24 (2.26-4.23),116,98.31,4.77 (4.41-5.13),4.20,3.99
endothelial cells 9,586.0,0.172,40.0,62,2,3.23,3.13 (3.13-3.13),60,96.77,4.08 (3.62-4.54),1.80,4.29
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.181,83.0,125,3,2.4,5.13 (2.04-8.22),122,97.6,3.30 (2.98-3.61),3.36,8.74
astrocytes 8,1266.0,0.08,48.0,66,8,12.12,0.96 (0.34-1.58),58,87.88,3.60 (3.21-3.99),3.65,2.86
oligodendrocyte progenitor cells 12,3303.0,0.06,27.0,276,12,4.35,2.64 (1.55-3.73),264,95.65,3.60 (3.38-3.82),13.36,4.74
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,114.0,0.276,45.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89),3.65,1.99
astrocytes 15,367.0,0.146,50.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.127,57.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,99.0,0.27,25.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78),2.73,5.38
astrocytes 4,721.0,0.159,64.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
