tipo_celular,module_size,RCOR3_MM,RCOR3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.127,27.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727.0,0.132,40.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141.0,0.137,60.0,166,34,20.48,2.32 (1.92-2.72),132,79.52,3.74 (3.47-4.02),6.20,4.12
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,53,15.01,2.12 (1.80-2.43),300,84.99,4.32 (4.14-4.50),23.55,5.33
GABA neurons expressing GLU receptors 22,567.0,0.168,39.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1316.0,0.132,58.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,101.0,0.299,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.147,65.0,297,3,1.01,4.85 (4.24-5.46),294,98.99,3.66 (3.45-3.86),8.46,5.49
oligodendrocytes 20,298.0,0.211,74.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052.0,0.282,100.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67),1.90,8.67
astrocytes 8,577.0,0.071,38.0,83,4,4.82,2.10 (0.92-3.27),79,95.18,3.32 (2.86-3.79),1.96,4.60
oligodendrocyte progenitor cells 12,3303.0,0.152,99.0,276,39,14.13,2.06 (1.76-2.37),237,85.87,3.88 (3.65-4.11),11.97,3.98
oligodendrocytes 10,2107.0,0.178,62.0,358,62,17.32,2.28 (1.95-2.60),296,82.68,4.35 (4.16-4.53),26.53,5.90
connective tissue cells 21,106.0,0.207,20.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,367.0,0.102,24.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,91.0,0.116,6.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,103.0,0.256,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.174,80.0,96,9,9.38,2.93 (2.36-3.49),87,90.62,3.34 (2.97-3.70),2.73,4.48
oligodendrocytes 0,1186.0,0.176,91.0,300,7,2.33,3.68 (3.19-4.18),293,97.67,3.80 (3.59-4.01),7.97,4.06
microglia 1,1615.0,0.159,93.0,161,50,31.06,2.06 (1.74-2.39),111,68.94,4.01 (3.73-4.30),9.92,3.41
oligodendrocytes 3,1003.0,0.115,68.0,111,1,0.9,4.23 (NA-NA),110,99.1,3.29 (2.95-3.64),1.50,4.26
oligodendrocytes 2,804.0,0.183,80.0,84,5,5.95,0.92 (0.41-1.42),79,94.05,2.83 (2.50-3.17),2.89,3.43
