tipo_celular,module_size,ZMYND8_MM,ZMYND8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.139,10.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,610,0.169,63.0,98,41,41.84,2.26 (1.87-2.65),57,58.16,3.87 (3.50-4.24),5.90,2.70
astrocytes 5,423,0.147,48.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,448,0.115,30.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,567,0.037,1.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1247,0.208,86.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25),3.35,3.23
da like neurons 11,853,0.191,81.0,133,58,43.61,2.42 (2.09-2.76),75,56.39,3.99 (3.56-4.42),5.51,3.12
GABA neurons expressing GABA receptors 13,88,0.156,49.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,658,0.189,45.0,120,13,10.83,3.79 (3.05-4.53),107,89.17,4.72 (4.38-5.06),3.97,3.61
oligodendrocytes 20,221,0.193,50.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300,0.275,80.0,306,23,7.52,3.18 (2.52-3.84),283,92.48,5.33 (5.07-5.60),6.69,6.71
astrocytes 8,577,0.138,77.0,83,4,4.82,1.55 (0.88-2.21),79,95.18,3.33 (2.87-3.79),2.25,4.58
oligodendrocyte progenitor cells 12,153,0.443,66.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,2107,0.174,60.0,358,95,26.54,2.68 (2.40-2.96),263,73.46,4.47 (4.26-4.67),18.86,6.08
connective tissue cells 21,126,0.257,32.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74),2.15,1.68
astrocytes 15,443,0.109,17.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,158,0.088,0.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96),1.82,12.75
da neurons 6,398,0.135,44.0,138,25,18.12,3.10 (2.41-3.80),113,81.88,5.27 (4.89-5.65),2.51,2.78
astrocytes microglia 23,253,0.192,17.0,47,11,23.4,3.03 (2.33-3.74),36,76.6,2.78 (2.40-3.15),2.29,3.32
astrocytes 4,514,0.229,70.0,95,7,7.37,1.30 (0.81-1.78),88,92.63,3.52 (3.09-3.95),2.92,4.78
oligodendrocytes 0,613,0.171,74.0,127,27,21.26,2.69 (2.30-3.09),100,78.74,3.20 (2.64-3.75),3.50,7.03
microglia 1,1615,0.108,48.0,161,67,41.61,2.52 (2.19-2.84),94,58.39,4.03 (3.69-4.37),7.93,3.65
oligodendrocytes 3,854,0.147,91.0,76,2,2.63,3.26 (-2.72-9.24),74,97.37,2.77 (2.45-3.08),2.19,4.79
oligodendrocytes 2,407,0.19,81.0,122,70,57.38,2.46 (2.18-2.74),52,42.62,5.45 (4.80-6.10),3.14,2.11
