tipo_celular,module_size,LAMC1_MM,LAMC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.089,6.0,166,7,4.22,1.91 (1.11-2.71),159,95.78,3.47 (3.21-3.73),9.98,4.31
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,16,4.53,1.40 (0.92-1.88),337,95.47,4.04 (3.86-4.22),38.09,6.64
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,380.0,0.178,54.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,142.0,0.506,98.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.167,46.0,54,3,5.56,5.10 (5.02-5.19),51,94.44,4.82 (4.16-5.48),1.55,5.24
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.192,89.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.069,36.0,66,14,21.21,1.52 (0.94-2.10),52,78.79,3.78 (3.38-4.18),3.73,2.74
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,10,3.62,1.96 (1.48-2.45),266,96.38,3.62 (3.40-3.84),12.24,4.84
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,114.0,0.389,90.0,19,5,26.32,3.18 (2.78-3.58),14,73.68,5.61 (4.97-6.26),1.55,2.32
astrocytes 15,367.0,0.16,63.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.245,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.144,37.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
