tipo_celular,module_size,NAT10_MM,NAT10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.081,6.0,136,11,8.09,2.33 (1.58-3.07),125,91.91,3.30 (3.01-3.58),6.29,4.87
oligodendrocyte progenitor cells 7,4285.0,0.121,29.0,353,72,20.4,2.33 (2.05-2.60),281,79.6,4.44 (4.26-4.62),18.94,5.28
GABA neurons expressing GLU receptors 22,1069.0,0.132,24.0,37,4,10.81,2.11 (1.58-2.64),33,89.19,2.16 (1.65-2.68),2.58,3.16
GLU like neurons 17,1316.0,0.091,19.0,101,5,4.95,2.83 (2.67-2.98),96,95.05,3.07 (2.69-3.44),2.55,3.08
da like neurons 11,853.0,0.086,14.0,133,43,32.33,2.03 (1.70-2.36),90,67.67,4.01 (3.64-4.37),5.54,3.50
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,271.0,0.022,1.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2090.0,0.119,25.0,74,8,10.81,1.97 (1.71-2.24),66,89.19,3.08 (2.66-3.49),3.78,11.31
astrocytes 8,603.0,0.041,11.0,89,12,13.48,1.83 (1.26-2.40),77,86.52,2.97 (2.58-3.36),5.91,6.06
oligodendrocyte progenitor cells 12,708.0,0.032,3.0,32,11,34.38,1.44 (0.70-2.18),21,65.62,4.25 (3.34-5.15),3.28,2.24
oligodendrocytes 10,483.0,0.074,26.0,129,10,7.75,5.70 (4.39-7.00),119,92.25,3.23 (2.84-3.61),15.67,19.49
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.052,7.0,14,7,50.0,2.31 (0.84-3.78),7,50.0,1.74 (-1.03-4.50),2.68,2.23
oligodendrocytes 16,107.0,0.235,63.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.278,31.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,1807.0,0.124,16.0,104,35,33.65,1.95 (1.61-2.28),69,66.35,3.39 (3.05-3.72),9.65,3.24
oligodendrocytes 0,2078.0,0.103,27.0,238,16,6.72,2.62 (2.19-3.05),222,93.28,3.72 (3.49-3.96),7.32,4.86
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.036,1.0,111,8,7.21,5.02 (3.85-6.19),103,92.79,3.16 (2.81-3.50),2.11,4.40
oligodendrocytes 2,1630.0,0.14,47.0,154,9,5.84,4.23 (3.30-5.17),145,94.16,3.18 (2.91-3.46),2.44,3.66
