tipo_celular,module_size,SEMA4D_MM,SEMA4D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.207,65.0,73,12,16.44,3.82 (3.44-4.19),61,83.56,3.50 (3.08-3.92),2.57,3.35
T cells 18,388.0,0.19,68.0,84,10,11.9,2.65 (2.31-3.00),74,88.1,3.02 (2.65-3.39),2.10,4.62
astrocytes 5,165.0,0.148,36.0,51,6,11.76,6.44 (5.42-7.46),45,88.24,5.18 (4.44-5.92),2.06,3.07
oligodendrocyte progenitor cells 7,229.0,0.322,87.0,45,8,17.78,5.24 (4.90-5.58),37,82.22,4.94 (4.14-5.73),2.65,5.94
GABA neurons expressing GLU receptors 22,703.0,0.284,94.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,637.0,0.235,72.0,91,14,15.38,3.12 (2.34-3.91),77,84.62,4.91 (4.32-5.50),3.27,3.02
da like neurons 11,145.0,0.289,64.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.134,53.0,169,11,6.51,2.73 (1.76-3.71),158,93.49,3.55 (3.32-3.77),4.17,5.45
GABA like neurons 14,2090.0,0.181,69.0,74,13,17.57,2.22 (1.97-2.48),61,82.43,3.12 (2.67-3.58),3.27,12.04
astrocytes 8,771.0,0.33,84.0,48,11,22.92,6.63 (5.23-8.03),37,77.08,3.67 (2.96-4.38),3.01,3.18
oligodendrocyte progenitor cells 12,708.0,0.594,99.0,32,6,18.75,3.78 (1.67-5.89),26,81.25,3.10 (2.23-3.97),2.14,2.70
oligodendrocytes 10,236.0,0.53,60.0,82,34,41.46,5.11 (4.41-5.81),48,58.54,4.91 (4.18-5.65),3.00,4.43
connective tissue cells 21,250.0,0.295,44.0,117,44,37.61,5.01 (4.33-5.70),73,62.39,5.68 (5.24-6.11),5.06,2.94
astrocytes 15,458.0,0.164,77.0,36,7,19.44,8.14 (7.87-8.41),29,80.56,2.61 (1.87-3.36),1.75,2.77
oligodendrocytes 16,287.0,0.459,92.0,105,55,52.38,4.86 (4.21-5.52),50,47.62,5.46 (5.06-5.85),3.46,3.48
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.205,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.158,63.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,261.0,0.213,69.0,42,17,40.48,3.58 (2.41-4.75),25,59.52,4.48 (3.71-5.26),2.25,2.29
microglia 1,1615.0,0.145,87.0,161,37,22.98,2.18 (1.87-2.50),124,77.02,3.70 (3.38-4.01),5.36,5.45
oligodendrocytes 3,99.0,0.274,73.0,24,14,58.33,7.40 (6.72-8.08),10,41.67,5.20 (4.66-5.75),2.21,2.24
oligodendrocytes 2,131.0,0.255,80.0,20,3,15.0,3.68 (1.21-6.15),17,85.0,4.70 (3.97-5.44),1.84,4.17
