tipo_celular,module_size,TTYH1_MM,TTYH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.232,62.0,98,1,1.02,2.68 (NA-NA),97,98.98,4.62 (4.21-5.03),2.08,2.66
oligodendrocyte progenitor cells 7,628.0,0.173,55.0,164,5,3.05,3.30 (2.32-4.29),159,96.95,4.12 (3.78-4.46),9.90,7.45
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.335,97.0,169,6,3.55,1.89 (0.81-2.97),163,96.45,3.55 (3.34-3.77),5.04,5.38
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,279.0,0.343,84.0,78,2,2.56,2.53 (2.34-2.73),76,97.44,4.37 (3.95-4.79),5.29,2.64
oligodendrocyte progenitor cells 12,1049.0,0.138,72.0,235,5,2.13,3.30 (2.32-4.29),230,97.87,3.84 (3.60-4.08),5.43,7.66
oligodendrocytes 10,1277.0,0.122,59.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.412,78.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,96.0,0.173,19.0,102,4,3.92,1.59 (0.14-3.05),98,96.08,3.43 (3.10-3.76),3.95,7.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.278,64.0,30,1,3.33,2.00 (NA-NA),29,96.67,5.84 (4.98-6.70),1.47,4.13
astrocytes 4,251.0,0.226,86.0,34,1,2.94,2.68 (NA-NA),33,97.06,5.36 (4.75-5.96),1.38,3.12
oligodendrocytes 0,546.0,0.179,56.0,252,17,6.75,1.91 (1.23-2.59),235,93.25,4.30 (4.06-4.55),11.13,8.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.052,4.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.351,75.0,213,1,0.47,2.60 (NA-NA),212,99.53,3.99 (3.71-4.26),1.78,7.97
