tipo_celular,module_size,DNAJC15_MM,DNAJC15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.214,54.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,393.0,0.093,8.0,59,2,3.39,4.04 (4.00-4.08),57,96.61,3.07 (2.55-3.59),2.61,5.44
astrocytes 5,1656.0,0.118,53.0,136,1,0.74,4.54 (NA-NA),135,99.26,3.20 (2.93-3.47),3.32,5.00
oligodendrocyte progenitor cells 7,4285.0,0.17,94.0,353,30,8.5,2.27 (1.77-2.77),323,91.5,4.09 (3.90-4.28),26.05,6.39
GABA neurons expressing GLU receptors 22,599.0,0.272,77.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316.0,0.114,42.0,101,2,1.98,3.15 (1.13-5.18),99,98.02,3.05 (2.69-3.41),2.20,3.07
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.062,6.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.201,42.0,455,38,8.35,2.76 (2.25-3.28),417,91.65,4.54 (4.35-4.72),21.86,7.65
astrocytes 8,218.0,0.1,52.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,1049.0,0.097,52.0,235,6,2.55,2.57 (1.62-3.52),229,97.45,3.87 (3.63-4.10),8.30,7.60
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,126.0,0.268,43.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48),NA,1.88
astrocytes 15,1768.0,0.07,33.0,105,15,14.29,2.33 (1.71-2.95),90,85.71,3.37 (3.00-3.74),6.92,3.49
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.331,52.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,1807.0,0.129,23.0,104,12,11.54,2.30 (1.40-3.19),92,88.46,2.94 (2.65-3.24),12.76,4.44
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.124,68.0,290,14,4.83,3.54 (3.07-4.01),276,95.17,3.83 (3.59-4.07),5.93,4.95
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
