tipo_celular,module_size,VPS4A_MM,VPS4A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.091,4.0,164,17,10.37,4.15 (3.64-4.67),147,89.63,4.07 (3.70-4.45),3.83,7.95
GABA neurons expressing GLU receptors 22,703.0,0.121,16.0,23,3,13.04,1.84 (1.08-2.60),20,86.96,2.13 (1.31-2.95),2.39,4.16
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.161,43.0,410,76,18.54,3.75 (3.42-4.09),334,81.46,4.40 (4.18-4.61),9.94,6.96
GABA neurons expressing GABA receptors 13,77.0,0.244,98.0,8,6,75.0,3.16 (2.15-4.16),2,25.0,NA,1.73,1.89
endothelial cells 9,559.0,0.079,12.0,155,3,1.94,3.63 (2.62-4.65),152,98.06,4.36 (3.99-4.73),1.63,4.38
oligodendrocytes 20,676.0,0.033,10.0,110,20,18.18,3.29 (2.53-4.05),90,81.82,5.50 (5.04-5.97),3.07,3.63
GABA like neurons 14,2402.0,0.209,45.0,455,90,19.78,3.38 (3.04-3.72),365,80.22,4.66 (4.46-4.87),14.55,7.43
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.041,8.0,32,18,56.25,2.21 (1.59-2.82),14,43.75,5.11 (3.74-6.49),2.96,2.13
oligodendrocytes 10,806.0,0.131,40.0,261,49,18.77,3.62 (3.21-4.02),212,81.23,4.56 (4.28-4.84),5.96,6.09
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.203,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.09,35.0,43,2,4.65,NA,41,95.35,3.28 (2.76-3.80),2.43,3.52
astrocytes microglia 23,109.0,0.347,78.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.091,7.0,252,52,20.63,3.03 (2.55-3.51),200,79.37,4.45 (4.18-4.72),10.64,7.58
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.093,64.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.17,29.0,175,43,24.57,4.23 (3.70-4.76),132,75.43,4.44 (4.00-4.89),7.31,3.74
