tipo_celular,module_size,DGKI_MM,DGKI_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.387,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.072,13.0,219,20,9.13,5.29 (4.64-5.94),199,90.87,5.20 (4.89-5.51),10.74,4.00
GABA neurons expressing GLU receptors 22,459.0,0.201,67.0,165,16,9.7,2.61 (1.70-3.53),149,90.3,5.35 (5.02-5.68),4.99,3.99
GLU like neurons 17,795.0,0.227,82.0,80,6,7.5,4.07 (2.79-5.35),74,92.5,5.87 (5.46-6.28),2.47,3.06
da like neurons 11,140.0,0.355,88.0,1,1,100.0,NA,0,0.0,NA,1.72,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.136,25.0,120,18,15.0,3.20 (2.78-3.62),102,85.0,4.90 (4.56-5.24),5.34,3.35
oligodendrocytes 20,298.0,0.291,92.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300.0,0.17,32.0,306,41,13.4,3.63 (3.05-4.21),265,86.6,5.40 (5.13-5.68),11.93,5.90
astrocytes 8,283.0,0.237,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.386,86.0,103,12,11.65,5.08 (4.09-6.06),91,88.35,5.60 (5.18-6.01),5.42,2.78
oligodendrocytes 10,1277.0,0.091,38.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,101.0,0.372,87.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,1401.0,0.137,84.0,96,2,2.08,4.07 (4.07-4.07),94,97.92,3.60 (3.14-4.06),1.73,3.84
oligodendrocytes 16,78.0,0.166,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398.0,0.111,28.0,138,21,15.22,3.03 (2.22-3.83),117,84.78,5.17 (4.80-5.55),3.69,2.56
astrocytes microglia 23,61.0,0.284,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161.0,0.524,100.0,45,4,8.89,5.51 (5.51-5.51),41,91.11,5.27 (4.60-5.94),2.04,3.21
oligodendrocytes 0,1186.0,0.14,41.0,300,7,2.33,3.75 (3.52-3.97),293,97.67,3.79 (3.58-4.00),5.77,4.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.148,92.0,76,4,5.26,3.03 (1.18-4.88),72,94.74,2.76 (2.43-3.10),2.36,4.85
oligodendrocytes 2,804.0,0.145,44.0,84,9,10.71,2.21 (1.20-3.22),75,89.29,2.76 (2.41-3.12),4.12,3.31
