tipo_celular,module_size,YPEL5_MM,YPEL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.278,87.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,518.0,0.157,53.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.105,12.0,353,24,6.8,1.66 (1.13-2.19),329,93.2,4.09 (3.91-4.26),31.98,6.32
GABA neurons expressing GLU receptors 22,848.0,0.205,47.0,262,13,4.96,2.32 (1.48-3.15),249,95.04,4.25 (4.00-4.50),7.87,3.91
GLU like neurons 17,1316.0,0.161,79.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220.0,0.163,44.0,410,13,3.17,2.38 (1.62-3.14),397,96.83,4.31 (4.12-4.49),13.60,7.32
GABA neurons expressing GABA receptors 13,80.0,0.255,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.061,5.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,358.0,0.158,51.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.254,57.0,455,23,5.05,1.71 (1.18-2.24),432,94.95,4.50 (4.32-4.68),25.50,7.95
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.051,17.0,235,8,3.4,3.38 (3.00-3.76),227,96.6,3.83 (3.60-4.07),4.19,7.73
oligodendrocytes 10,806.0,0.146,45.0,261,10,3.83,3.67 (2.94-4.40),251,96.17,4.39 (4.14-4.64),6.01,6.07
connective tissue cells 21,90.0,0.293,51.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA,1.41,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.28,79.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA),1.88,1.73
da neurons 6,448.0,0.103,52.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82),1.72,3.51
astrocytes microglia 23,116.0,0.327,54.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.108,38.0,238,4,1.68,2.61 (0.15-5.06),234,98.32,3.65 (3.43-3.87),9.24,4.95
microglia 1,1615.0,0.118,62.0,161,20,12.42,1.48 (0.92-2.03),141,87.58,3.56 (3.29-3.82),14.12,4.20
oligodendrocytes 3,457.0,0.064,17.0,345,11,3.19,3.51 (2.92-4.11),334,96.81,4.30 (4.08-4.51),11.71,5.49
oligodendrocytes 2,1630.0,0.161,86.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
