tipo_celular,module_size,PSMC1_MM,PSMC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.134,36.0,241,1,0.41,4.07 (NA-NA),240,99.59,4.05 (3.80-4.31),7.32,4.33
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.139,30.0,164,3,1.83,3.05 (1.30-4.79),161,98.17,4.11 (3.78-4.44),2.87,7.61
GABA neurons expressing GLU receptors 22,703.0,0.152,30.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.249,71.0,410,21,5.12,3.19 (2.69-3.70),389,94.88,4.32 (4.13-4.51),9.77,7.39
GABA neurons expressing GABA receptors 13,417.0,0.131,26.0,213,35,16.43,2.30 (1.78-2.82),178,83.57,4.10 (3.86-4.34),6.40,10.33
endothelial cells 9,916.0,0.19,44.0,302,10,3.31,2.85 (1.50-4.20),292,96.69,4.01 (3.78-4.24),7.06,10.78
oligodendrocytes 20,233.0,0.145,25.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402.0,0.396,79.0,455,40,8.79,2.33 (1.88-2.79),415,91.21,4.59 (4.41-4.77),18.75,7.88
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.066,31.0,235,6,2.55,3.34 (1.98-4.71),229,97.45,3.83 (3.60-4.07),2.44,7.75
oligodendrocytes 10,735.0,0.207,90.0,277,5,1.81,4.03 (3.69-4.37),272,98.19,3.89 (3.65-4.14),6.30,8.99
connective tissue cells 21,92.0,0.255,28.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.185,36.0,291,3,1.03,2.65 (0.55-4.75),288,98.97,4.35 (4.12-4.57),4.70,3.81
da neurons 6,409.0,0.202,79.0,235,15,6.38,2.39 (1.67-3.11),220,93.62,4.09 (3.83-4.34),7.73,4.19
astrocytes microglia 23,43.0,0.318,31.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA),NA,2.20
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.09,7.0,252,32,12.7,2.30 (1.81-2.80),220,87.3,4.45 (4.21-4.70),8.90,8.11
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.09,34.0,345,16,4.64,3.68 (3.29-4.07),329,95.36,4.31 (4.09-4.53),5.76,5.69
oligodendrocytes 2,526.0,0.175,22.0,213,3,1.41,4.03 (3.69-4.37),210,98.59,3.98 (3.70-4.26),2.86,8.01
