tipo_celular,module_size,SNX7_MM,SNX7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.154,80.0,166,14,8.43,2.83 (1.84-3.82),152,91.57,3.45 (3.20-3.71),3.99,4.60
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,47,13.31,3.18 (2.58-3.78),306,86.69,4.02 (3.83-4.21),16.06,6.84
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,200.0,0.275,74.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.153,62.0,125,2,1.6,3.81 (NA-NA),123,98.4,3.35 (3.02-3.67),1.84,8.72
astrocytes 8,1266.0,0.054,18.0,66,13,19.7,1.46 (0.83-2.09),53,80.3,3.75 (3.35-4.14),3.56,2.80
oligodendrocyte progenitor cells 12,3303.0,0.077,48.0,276,30,10.87,3.04 (2.48-3.59),246,89.13,3.62 (3.39-3.86),7.89,4.77
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.175,68.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,83.0,0.288,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.168,71.0,96,4,4.17,3.41 (2.87-3.95),92,95.83,3.28 (2.94-3.63),2.98,4.38
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.101,36.0,161,29,18.01,3.03 (2.07-3.99),132,81.99,3.33 (3.09-3.57),7.97,4.87
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
