tipo_celular,module_size,EVI5L_MM,EVI5L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.083,8.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,18,5.1,2.92 (2.05-3.80),335,94.9,3.95 (3.76-4.13),6.47,8.15
GABA neurons expressing GLU receptors 22,714.0,0.186,53.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,637.0,0.072,9.0,91,13,14.29,3.15 (2.26-4.04),78,85.71,4.87 (4.29-5.45),3.44,3.00
da like neurons 11,853.0,0.213,86.0,133,5,3.76,2.22 (1.16-3.29),128,96.24,3.30 (2.98-3.62),3.83,4.18
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.105,21.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,2090.0,0.203,80.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,771.0,0.081,31.0,48,3,6.25,4.49 (0.86-8.11),45,93.75,4.43 (3.65-5.20),1.64,3.24
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,10,3.62,2.94 (1.74-4.14),266,96.38,3.57 (3.35-3.79),4.91,5.12
oligodendrocytes 10,1277.0,0.076,28.0,27,1,3.7,NA,26,96.3,5.41 (4.54-6.27),1.34,6.57
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.071,41.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,105.0,0.181,29.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.36,78.0,6,2,33.33,NA,4,66.67,5.75 (NA-NA),1.92,2.10
astrocytes 4,1807.0,0.137,34.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20),6.57,5.36
oligodendrocytes 0,1186.0,0.14,41.0,300,11,3.67,4.02 (3.22-4.81),289,96.33,3.78 (3.57-4.00),4.67,4.14
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.068,28.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43),2.48,4.25
oligodendrocytes 2,407.0,0.149,46.0,122,7,5.74,1.50 (0.83-2.16),115,94.26,3.48 (3.08-3.87),2.30,2.72
