tipo_celular,module_size,BFAR_MM,BFAR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.072,4.0,98,30,30.61,2.42 (1.89-2.94),68,69.39,3.46 (3.10-3.83),5.01,3.61
astrocytes 5,932.0,0.069,4.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.102,11.0,353,51,14.45,2.82 (2.34-3.30),302,85.55,4.10 (3.90-4.29),18.14,6.36
GABA neurons expressing GLU receptors 22,703.0,0.184,49.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,215.0,0.2,54.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.074,17.0,275,44,16.0,3.40 (2.79-4.02),231,84.0,4.11 (3.83-4.39),6.63,5.74
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.095,15.0,125,6,4.8,3.28 (2.73-3.82),119,95.2,3.35 (3.02-3.68),3.77,8.86
astrocytes 8,1266.0,0.097,65.0,66,12,18.18,1.66 (0.88-2.45),54,81.82,3.64 (3.23-4.06),3.16,2.90
oligodendrocyte progenitor cells 12,708.0,0.018,1.0,32,10,31.25,1.41 (0.59-2.23),22,68.75,4.12 (3.22-5.01),3.24,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.049,26.0,54,4,7.41,2.97 (1.87-4.07),50,92.59,3.75 (3.28-4.21),2.61,3.05
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.317,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.126,19.0,104,26,25.0,2.68 (2.20-3.15),78,75.0,2.93 (2.59-3.27),7.30,4.76
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
