tipo_celular,module_size,FN3K_MM,FN3K_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.126,32.0,80,4,5.0,4.53 (4.04-5.03),76,95.0,3.33 (2.83-3.83),2.11,5.17
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.096,24.0,133,8,6.02,2.19 (1.09-3.30),125,93.98,3.34 (3.01-3.66),4.42,4.15
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.031,6.0,33,6,18.18,3.31 (2.90-3.72),27,81.82,2.59 (2.00-3.18),3.53,3.35
GABA like neurons 14,3052.0,0.193,89.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,577.0,0.058,24.0,83,3,3.61,2.89 (2.52-3.25),80,96.39,3.27 (2.80-3.74),3.21,4.52
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.108,50.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.022,1.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,87.0,0.247,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.3,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.149,57.0,104,11,10.58,2.08 (1.40-2.76),93,89.42,2.96 (2.66-3.26),9.04,4.97
oligodendrocytes 0,2078.0,0.114,49.0,238,7,2.94,2.60 (1.78-3.41),231,97.06,3.67 (3.45-3.90),8.68,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.048,4.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.144,54.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
