tipo_celular,module_size,CAPN2_MM,CAPN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.173,68.0,142,1,0.7,3.79 (NA-NA),141,99.3,3.20 (2.94-3.47),3.00,4.31
astrocytes 5,1141.0,0.136,59.0,166,15,9.04,2.08 (1.38-2.78),151,90.96,3.55 (3.30-3.81),5.71,4.43
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,31,8.78,1.88 (1.45-2.32),322,91.22,4.15 (3.97-4.33),25.99,6.34
GABA neurons expressing GLU receptors 22,599.0,0.116,9.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,489.0,0.139,52.0,42,8,19.05,5.52 (4.05-7.00),34,80.95,6.09 (5.48-6.69),4.06,3.01
da like neurons 11,101.0,0.175,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.147,36.0,141,4,2.84,1.53 (0.29-2.76),137,97.16,3.01 (2.77-3.25),6.04,6.84
oligodendrocytes 20,275.0,0.242,66.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.077,7.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.106,70.0,66,18,27.27,1.98 (1.31-2.66),48,72.73,3.80 (3.38-4.22),3.61,2.71
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,22,7.97,2.17 (1.69-2.66),254,92.03,3.70 (3.48-3.93),10.30,4.66
oligodendrocytes 10,1277.0,0.036,5.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,142.0,0.271,25.0,55,8,14.55,2.24 (0.69-3.78),47,85.45,3.74 (2.79-4.69),2.55,3.41
astrocytes 15,261.0,0.105,25.0,8,5,62.5,2.35 (0.70-4.00),3,37.5,7.00 (7.00-7.00),1.59,2.24
oligodendrocytes 16,69.0,0.28,87.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.335,87.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24),1.81,1.81
astrocytes 4,255.0,0.223,78.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,2078.0,0.137,91.0,238,5,2.1,2.30 (1.20-3.40),233,97.9,3.67 (3.45-3.89),8.28,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.059,14.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.156,79.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
