tipo_celular,module_size,GSTA4_MM,GSTA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.116,50.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,9,2.55,1.50 (0.71-2.28),344,97.45,3.97 (3.79-4.15),31.02,7.46
GABA neurons expressing GLU receptors 22,848.0,0.225,56.0,262,3,1.15,0.52 (0.18-0.87),259,98.85,4.22 (3.98-4.46),3.99,4.11
GLU like neurons 17,300.0,0.21,70.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,108.0,0.1,11.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.037,12.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,3052.0,0.133,44.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262.0,0.09,23.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.056,21.0,276,5,1.81,1.46 (0.55-2.37),271,98.19,3.58 (3.36-3.80),13.02,4.96
oligodendrocytes 10,806.0,0.074,15.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,88.0,0.359,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.102,55.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,74.0,0.241,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.085,20.0,235,1,0.43,0.82 (NA-NA),234,99.57,3.99 (3.74-4.24),4.84,4.41
astrocytes microglia 23,99.0,0.3,42.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94),NA,4.50
astrocytes 4,1807.0,0.179,97.0,104,6,5.77,1.45 (0.60-2.31),98,94.23,2.96 (2.67-3.24),9.20,5.16
oligodendrocytes 0,479.0,0.147,46.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.106,61.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.146,59.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
