tipo_celular,module_size,SUMO1_MM,SUMO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.072,3.0,131,6,4.58,3.76 (3.05-4.47),125,95.42,3.04 (2.75-3.32),2.98,4.84
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,108,30.59,2.67 (2.43-2.90),245,69.41,4.60 (4.41-4.80),16.24,4.46
GABA neurons expressing GLU receptors 22,848.0,0.211,50.0,262,48,18.32,3.64 (3.18-4.11),214,81.68,4.31 (4.02-4.59),5.24,3.85
GLU like neurons 17,1316.0,0.128,54.0,101,7,6.93,3.24 (2.48-4.00),94,93.07,3.04 (2.67-3.41),2.84,3.07
da like neurons 11,1220.0,0.175,48.0,410,52,12.68,3.77 (3.35-4.19),358,87.32,4.34 (4.13-4.54),9.60,7.21
GABA neurons expressing GABA receptors 13,417.0,0.125,22.0,213,44,20.66,2.49 (2.00-2.97),169,79.34,4.17 (3.93-4.42),6.76,10.45
endothelial cells 9,916.0,0.134,26.0,302,17,5.63,3.89 (2.56-5.21),285,94.37,3.99 (3.76-4.21),5.89,10.94
oligodendrocytes 20,938.0,0.05,12.0,169,33,19.53,3.25 (2.79-3.70),136,80.47,3.55 (3.30-3.80),3.83,5.74
GABA like neurons 14,2402.0,0.315,69.0,455,82,18.02,3.48 (3.06-3.91),373,81.98,4.61 (4.41-4.80),14.30,7.63
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.07,35.0,235,6,2.55,4.01 (2.20-5.82),229,97.45,3.82 (3.58-4.05),2.26,7.75
oligodendrocytes 10,735.0,0.129,68.0,277,9,3.25,5.71 (4.90-6.51),268,96.75,3.85 (3.60-4.09),2.27,9.17
connective tissue cells 21,111.0,0.338,83.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.297,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.151,50.0,182,9,4.95,2.11 (1.43-2.80),173,95.05,3.74 (3.48-3.99),4.10,8.75
astrocytes microglia 23,107.0,0.285,30.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.105,13.0,252,56,22.22,3.14 (2.58-3.69),196,77.78,4.44 (4.19-4.69),7.13,8.52
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.068,30.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.142,12.0,213,10,4.69,6.27 (5.45-7.09),203,95.31,3.86 (3.59-4.13),3.22,8.17
