tipo_celular,module_size,SCG2_MM,SCG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.457,96.0,140,8,5.71,2.76 (2.08-3.44),132,94.29,4.63 (4.20-5.07),3.01,3.61
T cells 18,282.0,0.621,100.0,241,1,0.41,3.87 (NA-NA),240,99.59,4.06 (3.80-4.31),2.17,4.35
astrocytes 5,228.0,0.472,97.0,266,24,9.02,2.55 (1.98-3.11),242,90.98,4.31 (4.10-4.52),8.43,4.64
oligodendrocyte progenitor cells 7,296.0,0.469,97.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848.0,0.529,99.0,262,18,6.87,3.39 (2.73-4.05),244,93.13,4.23 (3.97-4.49),6.35,3.94
GLU like neurons 17,1316.0,0.139,64.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220.0,0.552,99.0,410,24,5.85,3.57 (3.05-4.09),386,94.15,4.30 (4.11-4.50),10.50,7.33
GABA neurons expressing GABA receptors 13,265.0,0.442,99.0,78,9,11.54,2.84 (2.26-3.41),69,88.46,4.56 (4.12-4.99),4.33,4.26
endothelial cells 9,338.0,0.525,98.0,191,3,1.57,2.81 (2.08-3.54),188,98.43,3.91 (3.68-4.13),5.86,9.21
oligodendrocytes 20,676.0,0.095,34.0,110,13,11.82,3.27 (2.33-4.22),97,88.18,5.34 (4.87-5.80),3.00,3.60
GABA like neurons 14,2402.0,0.566,93.0,455,25,5.49,2.48 (1.89-3.08),430,94.51,4.48 (4.30-4.67),25.22,7.88
astrocytes 8,520.0,0.578,100.0,288,22,7.64,3.42 (2.94-3.90),266,92.36,4.25 (4.03-4.46),10.75,4.18
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,15,5.43,2.25 (1.71-2.78),261,94.57,3.64 (3.42-3.87),11.09,4.77
oligodendrocytes 10,806.0,0.643,99.0,261,10,3.83,2.71 (2.23-3.18),251,96.17,4.44 (4.19-4.68),7.59,6.00
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.156,52.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,313.0,0.53,97.0,291,16,5.5,2.91 (2.37-3.44),275,94.5,4.42 (4.19-4.65),7.60,3.60
da neurons 6,300.0,0.317,90.0,159,3,1.89,6.33 (6.33-6.33),156,98.11,4.32 (4.00-4.63),3.14,3.74
astrocytes microglia 23,70.0,0.479,87.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,157.0,0.374,87.0,178,20,11.24,2.53 (1.92-3.14),158,88.76,4.43 (4.16-4.70),4.65,4.48
oligodendrocytes 0,116.0,0.359,85.0,169,1,0.59,2.08 (NA-NA),168,99.41,4.29 (4.00-4.59),2.25,6.51
microglia 1,214.0,0.51,96.0,227,6,2.64,3.37 (2.42-4.32),221,97.36,4.11 (3.87-4.35),10.87,5.99
oligodendrocytes 3,457.0,0.479,99.0,345,18,5.22,3.22 (2.83-3.61),327,94.78,4.35 (4.13-4.56),13.32,5.27
oligodendrocytes 2,99.0,0.458,87.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
