tipo_celular,module_size,VCPIP1_MM,VCPIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.151,42.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01),1.84,4.26
T cells 18,727.0,0.11,24.0,49,5,10.2,4.16 (3.07-5.25),44,89.8,2.21 (1.83-2.59),4.99,6.38
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,46,13.03,2.47 (2.03-2.90),307,86.97,4.16 (3.98-4.35),22.77,5.86
GABA neurons expressing GLU receptors 22,567.0,0.135,22.0,16,1,6.25,2.23 (NA-NA),15,93.75,1.95 (1.23-2.68),1.59,3.77
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.117,23.0,410,16,3.9,3.75 (3.09-4.40),394,96.1,4.28 (4.08-4.47),9.04,7.45
GABA neurons expressing GABA receptors 13,266.0,0.128,30.0,118,1,0.85,4.57 (NA-NA),117,99.15,4.74 (4.38-5.10),2.78,4.00
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,228.0,0.323,86.0,5,1,20.0,0.26 (NA-NA),4,80.0,4.00 (1.97-6.04),2.19,2.53
GABA like neurons 14,3052.0,0.159,67.0,125,4,3.2,3.08 (2.95-3.22),121,96.8,3.36 (3.03-3.69),3.52,8.78
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.036,5.0,276,34,12.32,2.84 (2.31-3.38),242,87.68,3.67 (3.43-3.90),11.10,4.27
oligodendrocytes 10,806.0,0.123,36.0,261,9,3.45,3.97 (2.81-5.14),252,96.55,4.38 (4.14-4.63),4.86,6.11
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.225,58.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,518.0,0.127,67.0,122,17,13.93,2.12 (1.50-2.74),105,86.07,4.41 (4.00-4.81),4.56,3.31
astrocytes microglia 23,78.0,0.342,58.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.11,42.0,238,22,9.24,3.60 (2.82-4.39),216,90.76,3.64 (3.41-3.87),6.20,4.90
microglia 1,1615.0,0.097,30.0,161,30,18.63,2.13 (1.62-2.64),131,81.37,3.61 (3.33-3.89),12.18,3.89
oligodendrocytes 3,457.0,0.083,30.0,345,21,6.09,3.76 (3.15-4.36),324,93.91,4.32 (4.10-4.54),7.25,5.59
oligodendrocytes 2,1630.0,0.165,90.0,154,3,1.95,3.22 (NA-NA),151,98.05,3.24 (2.98-3.51),2.26,3.62
