tipo_celular,module_size,SIRPA_MM,SIRPA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.157,52.0,71,2,2.82,0.97 (-0.53-2.48),69,97.18,2.68 (2.26-3.09),1.65,3.63
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.138,84.0,80,3,3.75,4.02 (2.96-5.08),77,96.25,3.66 (3.23-4.08),1.94,4.39
oligodendrocyte progenitor cells 7,200.0,0.174,47.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,265.0,0.091,7.0,78,14,17.95,3.23 (2.73-3.72),64,82.05,4.64 (4.17-5.11),4.30,4.26
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.142,41.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.121,15.0,455,37,8.13,2.31 (1.76-2.87),418,91.87,4.54 (4.36-4.72),20.74,7.78
astrocytes 8,1266.0,0.127,81.0,66,19,28.79,2.40 (1.62-3.18),47,71.21,3.64 (3.20-4.08),3.15,2.87
oligodendrocyte progenitor cells 12,3303.0,0.099,74.0,276,32,11.59,2.09 (1.77-2.41),244,88.41,3.78 (3.55-4.01),7.49,4.80
oligodendrocytes 10,483.0,0.063,19.0,129,4,3.1,3.85 (3.42-4.29),125,96.9,3.41 (3.00-3.82),5.36,19.63
connective tissue cells 21,250.0,0.183,13.0,117,19,16.24,3.55 (2.94-4.17),98,83.76,5.86 (5.46-6.27),3.57,3.77
astrocytes 15,443.0,0.111,19.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18),3.19,1.73
oligodendrocytes 16,74.0,0.22,68.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.271,60.0,47,6,12.77,2.52 (1.61-3.44),41,87.23,2.90 (2.54-3.26),2.01,3.24
astrocytes 4,201.0,0.181,59.0,18,12,66.67,3.63 (3.07-4.19),6,33.33,6.54 (5.10-7.97),3.45,2.38
oligodendrocytes 0,2078.0,0.116,53.0,238,8,3.36,2.63 (1.83-3.42),230,96.64,3.68 (3.45-3.90),5.75,5.00
microglia 1,346.0,0.133,39.0,43,2,4.65,3.91 (3.91-3.91),41,95.35,3.76 (3.22-4.29),3.12,4.55
oligodendrocytes 3,94.0,0.047,8.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,528.0,0.137,13.0,175,27,15.43,3.18 (2.74-3.63),148,84.57,4.62 (4.22-5.01),9.57,3.72
